,Track name, Artist name, Album, Playlist name, Type, ISRC,category
0,Hold On,Wilson Phillips,Wilson Phillips,hits,Playlist track,USSB29000002,Hit
1,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,It Must Have Been Love,hits,Playlist track,SEAMA8777131,Hit
2,Nothing Compares 2 U - Live,Sinéad O'Connor,¡Released! The Human Rights Concerts 1990: An Embrace Of Hope...,hits,Playlist track,GBCBR1300075,Hit
3,Poison,Bell Biv DeVoe,Poison,hits,Playlist track,USMC19031167,Hit
4,Vogue,Madonna,Celebration (double disc version),hits,Playlist track,USWB10903600,Hit
5,Vision of Love,Mariah Carey,Mariah Carey,hits,Playlist track,USSM19000412,Hit
6,Another Day in Paradise - 2016 Remaster,Phil Collins,...But Seriously (Deluxe Edition),hits,Playlist track,USRH11602150,Hit
7,Hold On,En Vogue,Old School Beats,hits,Playlist track,USEE10900573,Hit
8,Cradle Of Love - Remastered,Billy Idol,The Very Best Of Billy Idol: Idolize Yourself,hits,Playlist track,USCH30100013,Hit
9,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,Blaze Of Glory,hits,Playlist track,USPG19090003,Hit
10,Do Me!,Bell Biv DeVoe,Poison,hits,Playlist track,USMC19031151,Hit
11,How Am I Supposed To Live Without You,Michael Bolton,A Symphony Of Hits,hits,Playlist track,US25A1900007,Hit
12,Pump Up The Jam,Technotronic,Pump Up The Jam,hits,Playlist track,BED018901375,Hit
13,Opposites Attract,Paula Abdul,Forever Your Girl,hits,Playlist track,USVI28800019,Hit
14,Escapade,Janet Jackson,Iconic Women of the 90's,hits,Playlist track,USAM18900717,Hit
15,All I Wanna Do Is Make Love To You,Heart,Brigade,hits,Playlist track,USCA29000284,Hit
16,Close To You,Maxi Priest,Bonafide,hits,Playlist track,GBAAA9000061,Hit
17,Black Velvet,Alannah Myles,Alannah Myles,hits,Playlist track,USAT20103053,Hit
18,Release Me,Wilson Phillips,Wilson Phillips,hits,Playlist track,USSB29000014,Hit
19,Don't Know Much (with Aaron Neville),Linda Ronstadt,Cry Like a Rainstorm Howl Like the Wind (feat. Aaron Neville),hits,Playlist track,USEE10170735,Hit
20,What's Love Got to Do with It,Tina Turner,What's Love Got to Do with It?,hits,Playlist track,USCA28400002,Hit
21,Say Say Say,Paul McCartney,All The Best (UK Version),hits,Playlist track,GBCCS8300875,Hit
22,Footloose,Kenny Loggins,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",hits,Playlist track,USSM18400107,Hit
23,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,The Singles (Expanded),hits,Playlist track,USRH11603367,Hit
24,Jump - 2015 Remaster,Van Halen,1984 (Remastered),hits,Playlist track,USWB11403680,Hit
25,Hello,Lionel Richie,Can't Slow Down,hits,Playlist track,USMO18390012,Hit
26,Owner of a Lonely Heart,Yes,90125 (Deluxe Version),hits,Playlist track,USAT20702539,Hit
