,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity,category
0,4m6jGBe6avCq2n0cGCwxsw,(Everything I Do) I Do It For You,1Eb90nmqTrxylKFhcUzW8P,https://p.scdn.co/mp3-preview/b69589f6d0950835ba5f00f811bdf2741d0a5cf1?cid=961d9cfe0e7c426da68d7932c2693fc9,1991-09-24,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",0.533,0.36,-12.633,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,1,1,393640,74.0,Hit
1,4m6jGBe6avCq2n0cGCwxsw,(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,https://p.scdn.co/mp3-preview/22782e4be2eb4daa12edd8882a894ffda3601b43?cid=961d9cfe0e7c426da68d7932c2693fc9,1965-07-30,"['british invasion', 'classic rock', 'rock']",0.723,0.863,-7.89,0.0338,0.0383,0.0317,0.128,0.931,136.302,2,1,222813,75.0,Hit
2,4m6jGBe6avCq2n0cGCwxsw,(Just Like) Starting Over - Remastered 2010,5y0YreEOnQiKFAnCrcFIXz,https://p.scdn.co/mp3-preview/a79a8808230f4ded0af7074d5f472dee77f6881f?cid=961d9cfe0e7c426da68d7932c2693fc9,1980-11-17,"['album rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock']",0.701,0.79,-6.16,0.0725,0.301,6.06e-05,0.179,0.421,99.104,9,1,236547,59.0,Hit
3,4m6jGBe6avCq2n0cGCwxsw,(Love Is) Thicker Than Water,3jdBf1cJ2QmTzNUixplppA,https://p.scdn.co/mp3-preview/ce0e47fb6c8868022d3549365a53cb8274dd8754?cid=961d9cfe0e7c426da68d7932c2693fc9,1977-01-01,"['adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'quiet storm', 'soft rock']",0.582,0.462,-9.882,0.0254,0.137,4.98e-05,0.0755,0.528,96.361,6,0,255960,45.0,Hit
4,4m6jGBe6avCq2n0cGCwxsw,(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,https://p.scdn.co/mp3-preview/404976a4a56d8c1cd4abfe11198bae2118594cab?cid=961d9cfe0e7c426da68d7932c2693fc9,1968,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']",0.769,0.367,-11.226,0.0312,0.684,1.62e-05,0.081,0.535,103.621,2,1,163756,77.0,Hit
5,4m6jGBe6avCq2n0cGCwxsw,(They Long To Be) Close To You,2kyVQg00pphEufGT59M2XH,https://p.scdn.co/mp3-preview/4d4e5b3219e81e16f5e9e624ae1037f69711ab65?cid=961d9cfe0e7c426da68d7932c2693fc9,1970-01-01,"['adult standards', 'mellow gold', 'soft rock']",0.528,0.233,-15.362,0.0346,0.726,0.000108,0.122,0.208,89.044,8,1,273933,65.0,Hit
6,4m6jGBe6avCq2n0cGCwxsw,(Your Love Has Lifted Me) Higher And Higher,39iKJpLPhsDTOzH2lXliWF,https://p.scdn.co/mp3-preview/7517c6d7e45a0d992212cb3aafee376adc2eedcc?cid=961d9cfe0e7c426da68d7932c2693fc9,1977-03-01,"['adult standards', 'bubblegum pop', 'folk rock', 'mellow gold', 'native american', 'soft rock']",0.656,0.646,-9.169,0.0336,0.0575,0.00464,0.16,0.75,117.586,10,0,241720,48.0,Hit
7,4m6jGBe6avCq2n0cGCwxsw,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/174e01719c3b06ee1437cb13f892e539df14b6d1?cid=961d9cfe0e7c426da68d7932c2693fc9,1999-01-12,"['dance pop', 'pop']",0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,0,0,211067,78.0,Hit
8,4m6jGBe6avCq2n0cGCwxsw,"One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,https://p.scdn.co/mp3-preview/ae77ad8cc38a152c786b2b2e32c34c6541e1f2f6?cid=961d9cfe0e7c426da68d7932c2693fc9,2004-09-27,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",0.944,0.511,-10.96,0.161,0.042,0.00107,0.0379,0.842,113.046,5,0,203787,74.0,Hit
9,4m6jGBe6avCq2n0cGCwxsw,21 Questions,70FCugJxa7XW04Np6iYJdI,https://p.scdn.co/mp3-preview/77a25e19e14207e68cf6824df73427206a50a249?cid=961d9cfe0e7c426da68d7932c2693fc9,2003-02-06,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.646,0.813,-3.846,0.299,0.349,9.37e-05,0.0427,0.895,92.729,6,0,224440,74.0,Hit
10,4m6jGBe6avCq2n0cGCwxsw,4 Minutes (feat. Justin Timberlake & Timbaland),1oHClQEgDmmbcEx12Kc5nZ,https://p.scdn.co/mp3-preview/57e975c1cc003797ed03390474ce9e345e20e031?cid=961d9cfe0e7c426da68d7932c2693fc9,2009-09-18,"['dance pop', 'pop']",0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,113.029,2,1,189693,73.0,Hit
11,4m6jGBe6avCq2n0cGCwxsw,50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,https://p.scdn.co/mp3-preview/41aa0ddb2632aa1939ecbaa3bed10b28c47c5a0b?cid=961d9cfe0e7c426da68d7932c2693fc9,1975-10-25,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.815,0.372,-12.814,0.0752,0.166,0.000116,0.0767,0.293,101.684,7,1,217347,69.0,Hit
12,4m6jGBe6avCq2n0cGCwxsw,679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,https://p.scdn.co/mp3-preview/a5e4cc1818969ad61ef99074c0dc821493b16b46?cid=961d9cfe0e7c426da68d7932c2693fc9,2015-06-29,"['dance pop', 'new jersey rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.618,0.717,-5.738,0.318,0.00256,0.0,0.625,0.603,190.05,7,1,196693,73.0,Hit
13,4m6jGBe6avCq2n0cGCwxsw,9 to 5,4w3tQBXhn5345eUXDGBWZG,https://p.scdn.co/mp3-preview/6384764199bf3d44f69085d62e10a076855ac8c8?cid=961d9cfe0e7c426da68d7932c2693fc9,1980,"['classic country pop', 'country', 'country dawn']",0.554,0.783,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,6,1,162467,77.0,Hit
14,4m6jGBe6avCq2n0cGCwxsw,A Hard Day's Night - Remastered 2009,5J2CHimS7dWYMImCHkEFaJ,https://p.scdn.co/mp3-preview/b564b172bd88dec2a6919a579ae96b2164666605?cid=961d9cfe0e7c426da68d7932c2693fc9,1964-07-10,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.59,0.805,-6.481,0.0371,0.137,0.0,0.0996,0.797,138.514,0,1,154200,67.0,Hit
15,4m6jGBe6avCq2n0cGCwxsw,A Little More Love,6IMHEynubZaQrENpv8fh7m,https://p.scdn.co/mp3-preview/902019bc3b8ca688fdfc64c3b56592e955c68db4?cid=961d9cfe0e7c426da68d7932c2693fc9,1978-11-01,"['adult standards', 'australian dance', 'disco', 'europop', 'mellow gold', 'new wave pop', 'soft rock']",0.699,0.659,-6.224,0.0333,0.0461,0.0101,0.131,0.544,100.538,8,1,209467,43.0,Hit
