,Artist,Song_Title
0,Drake,God's Plan
1,Ed Sheeran,Perfect
2,Bebe Rexha & Florida Georgia Line,Meant To Be
3,Camila Cabello Featuring Young Thug,Havana
4,Post Malone Featuring 21 Savage,Rockstar
5,Post Malone Featuring Ty Dolla $ign,Psycho
6,"Cardi B, Bad Bunny & J Balvin",I Like It
7,"Zedd, Maren Morris & Grey",The Middle
8,Drake,In My Feelings
9,Maroon 5 Featuring Cardi B,Girls Like You
10,Drake,Nice For What
11,Juice WRLD,Lucid Dreams
12,Post Malone,Better Now
13,Bruno Mars & Cardi B,Finesse
14,Ella Mai,Boo'd Up
15,Dua Lipa,New Rules
16,XXXTENTACION,Sad!
17,Camila Cabello,Never Be The Same
18,Khalid & Normani,Love Lies
19,Ariana Grande,No Tears Left To Cry
20,Bazzi,Mine
21,Imagine Dragons,Thunder
22,BlocBoy JB Featuring Drake,Look Alive
23,Taylor Swift,Delicate
24,Lil Baby & Drake,Yes Indeed
25,Marshmello & Anne-Marie,Friends
26,Halsey,Bad At Love
27,Tyga Featuring Offset,Taste
28,NF,Let You Down
29,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit
30,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE
31,Dan + Shay,Tequila
32,Portugal. The Man,Feel It Still
33,"Migos, Nicki Minaj & Cardi B",MotorSport
34,Lauv,I Like Me Better
35,5 Seconds Of Summer,Youngblood
36,Imagine Dragons,Whatever It Takes
37,Offset & Metro Boomin,Ric Flair Drip
38,Post Malone,I Fall Apart
39,The Weeknd & Kendrick Lamar,Pray For Me
40,Selena Gomez,Back To You
41,Travis Scott,Sicko Mode
42,Migos Featuring Drake,Walk It Talk It
43,Lil Pump,Gucci Gang
44,G-Eazy & Halsey,Him & I
45,Shawn Mendes,In My Blood
46,Kendrick Lamar & SZA,All The Stars
47,Migos,Stir Fry
48,Sam Smith,Too Good At Goodbyes
49,Kendrick Lamar Featuring Zacari,Love.
50,Childish Gambino,This Is America
51,Drake,Nonstop
52,Kane Brown,Heaven
53,Cardi B,Bodak Yellow (Money Moves)
54,Lil Dicky Featuring Chris Brown,Freaky Friday
55,6ix9ine,Gummo
56,Rich The Kid,Plug Walk
57,Maroon 5,Wait
58,Cardi B,Be Careful
59,Selena Gomez X Marshmello,Wolves
60,Cardi B Featuring 21 Savage,Bartier Cardi
61,Ariana Grande,God Is A Woman
62,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank
63,Demi Lovato,Sorry Not Sorry
64,Charlie Puth,How Long
65,MAX Featuring gnash,Lights Down Low
66,Khalid,Young Dumb & Broke
67,Calvin Harris & Dua Lipa,One Kiss
68,Imagine Dragons,Natural
69,Jason Aldean,You Make It Easy
70,Ed Sheeran,Shape Of You
71,Gucci Mane Featuring Migos,I Get The Bag
72,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer
73,A$AP Ferg Featuring Nicki Minaj,Plain Jane
74,Miguel Featuring Travis Scott,Sky Walker
75,Thomas Rhett,Marry Me
76,"benny blanco, Halsey & Khalid",Eastside
77,The Weeknd,Call Out My Name
78,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead
79,Marshmello & Bastille,Happier
80,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote
81,Florida Georgia Line,Simple
82,N*E*R*D & Rihanna,Lemon
83,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
84,Justin Timberlake Featuring Chris Stapleton,Say Something
85,Drake,I'm Upset
86,Kenny Chesney,Get Along
87,XXXTENTACION,Moonlight
88,Maroon 5 Featuring SZA,What Lovers Do
89,Nicky Jam x J Balvin,X
90,YoungBoy Never Broke Again,Outside Today
91,Ella Mai,Trip
92,Daddy Yankee,Dura
93,XXXTENTACION,Changes
94,Brett Young,Mercy
95,Luke Combs,One Number Away
96,Rae Sremmurd & Juicy J,Powerglide
97,Dua Lipa,IDGAF
98,J Balvin & Willy William Featuring Beyonce,Mi Gente
99,Imagine Dragons,Believer
