,title,artist
0,Let's Groove,"Earth, Wind and Fire"
1,Price Of Love,Bad English
2,Let's Ride,Montell Jordan
3,Let's Wait Awhile,Janet Jackson
4,Little Sister,Elvis Presley
5,Ramblin' Rose,Nat King Cole
6,Penny Lane,Beatles
7,Pride And Joy,Marvin Gaye
8,Pony,Ginuwine
9,Pretty Girl Rock,Keri Hilson
10,Let's Go,Calvin Harris
11,Let The Music Play,Shannon
12,Let Your Love Flow,Bellamy Brothers
13,Listen To Your Heart,D.H.T.
14,Look Into My Eyes,Bone Thugs-N-Harmony
15,Pour It Up,Rihanna
16,Let's Do It Again,Staple Singers
17,Post To Be,Omarion
18,Listen To What The Man Said,Wings
19,Power Trip,J. Cole
20,Let's Get Married,Jagged Edge
21,Passion,Rod Stewart
22,Patience,Guns N' Roses
23,Lips of an Angel,Hinder
24,Praying For Time,George Michael
25,Longer,Dan Fogelberg
26,Pretty Blue Eyes,Steve Lawrence
27,Little Red Rooster,Sam Cooke
28,Lips Of An Angel,Hinder
29,Long Cool Woman,Hollies
30,Read your Mind,Avant
31,Peg,Steely Dan
32,Linger,Cranberries
33,Let's Get Serious,Jermaine Jackson
34,Reach Out Of The Darkness,Friend and Lover
35,Like You'll Never See Me Again,Alicia Keys
36,Rather Be,Clean Bandit
37,Liar,Three Dog Night
38,Rainy Days And Mondays,Carpenters
39,Lido Shuffle,Boz Scaggs
40,Lighters,Bad Meets Evil
41,Pimpin' All Over the World,Ludacris
42,Quarter To Three,"Gary ""U.S."" Bonds"
43,Proud Mary,Ike and Tina Turner
44,Like A Prayer,Madonna
45,Living Inside Myself,Gino Vannelli
46,Please Forgive Me,Bryan Adams
47,Like A G6,Far East Movement
48,Living In America,James Brown
49,Living For The City,Stevie Wonder
50,Live To Tell,Madonna
51,Like A Boy,Ciara
52,Pieces of Me,Ashlee Simpson
53,Little Lies,Fleetwood Mac
54,Lightnin' Strikes,Lou Christie
55,Play,David Banner
56,Pullin' Me Back,Chingy
57,Put On,Young Jeezy
58,Put It On Me,Ja Rule
59,Put A Little Love In Your Heart,Jackie DeShannon
60,Play It Again,Luke Bryan
61,Pleasant Valley Sunday,Monkees
62,Puppy Love,Donny Osmond
63,Player's Anthem,Junior M.A.F.I.A.
64,Play That Funky Music,Vanilla Ice
65,Puppy Love,Paul Anka
66,Play,Jennifer Lopez
67,Locked Up,Akon
68,Rack City,Tyga
