,artist,title
0,"10,000 Maniacs",Because The Night
1,10cc,I'm Not In Love
2,10cc,The Things We Do For Love
3,112,Only You
4,112,Cupid
5,112,Anywhere
6,112,It's Over Now
7,2 Chainz,No Lie
8,2Pac,I Get Around
9,2Pac,Keep Ya Head Up
10,3 Doors Down,It'S Not My Time
11,3 Doors Down,Let Me Go
12,3LW,No More
13,3t,Anything
14,4 Non Blondes,What's Up
15,50 Cent,Wanksta
16,69 Boyz,Tootsee Roll
17,702,Get It Together
18,98 Degrees,The Hardest Thing
19,98 Degrees,Because Of You
20,98 Degrees,Invisible Man
21,A Flock Of Seagulls,I Ran
22,ABBA,The Winner Takes It All
23,ABBA,Waterloo
24,ABBA,Take A Chance On Me
25,AWOLNATION,Sail
26,Aaliyah,At Your Best
27,Aaliyah,Back and Forth
28,Aaliyah,If Your Girl Only Knew
29,Aaliyah,The One I Gave My Heart To
30,Aaliyah,More than a Woman
31,Ace,How Long
32,Ace Of Base,Cruel Summer
33,Adam Ant,Goody Two Shoes
34,Adam Lambert,Whataya Want From Me
35,Aerosmith,Jaded
36,Aerosmith,Janie's Got A Gun
37,Aerosmith,I Don't Want To Miss A Thing
38,Aerosmith,Dream On
39,Aerosmith,Crazy
40,Aerosmith,Angel
41,Aerosmith,Amazing
42,Aerosmith,Cryin'
43,After The Fire,Der Kommissar
44,Air Supply,Making Love Out Of Nothing At All
45,Air Supply,Even The Nights Are Better
46,Air Supply,All Out Of Love
47,Air Supply,Sweet Dreams
48,Air Supply,Every Woman In The World
49,Air Supply,The One That You Love
50,Akon,Right Now
51,Akon,Beautiful
52,Akon,Locked Up
53,Akon,Lonely
54,Al Green,Here I Am
55,Al Green,Look What You Done For Me
56,Al Green,I'm Still In Love With You
57,Al Martino,I Love You More And More Every Day
58,Alabama,Love In The First Degree
59,Alan Jackson,It's Five O'Clock Somewhere
60,Alan Parsons Project,Games People Play
61,Alan Parsons Project,Time
62,Alan Parsons Project,Eye In The Sky
63,Alex Clare,Too Close
64,Alice Cooper,Only Women Bleed
65,Alice Cooper,You And Me
66,Alicia Keys,A Woman's Worth
67,Alicia Keys,You Don't Know My Name
68,Alicia Keys,Girl On Fire
69,Alicia Keys,Karma
70,Alicia Keys,Diary
71,Alicia Keys,Like You'll Never See Me Again
72,All Saints,Never Ever
73,All-American Rejects,Dirty Little Secret
74,All-American Rejects,It Ends Tonight
75,Aloe Blacc,The Man
76,Ambrosia,Biggest Part Of Me
77,America,You Can Do Magic
78,America,A Horse With No Name
79,America,Sister Golden Hair
80,American Authors,Best Day Of My Life
81,Amerie,1 Thing
82,Amy Grant,Every Heartbeat
83,Amy Grant,Good For Me
84,Amy Winehouse,Rehab
85,Andrew Gold,Lonely Boy
86,Andy Gibb,(Our Love) Don't Throw It All Away
87,Andy Gibb,An Everlasting Love
88,Andy Gibb,Desire
89,Andy Grammer,"Honey, I'm Good."
90,Andy Kim,"Baby, I Love You"
91,Andy Kim,Rock Me Gently
92,Andy Williams,Love Story
93,Andy Williams,The Village Of St. Bernadette
94,Angie Martinez,If I could Go!
95,Animotion,Obsession
96,Anne Murray,Snowbird
97,Anne Murray,You Needed Me
98,Anne Murray,Daydream Believer
99,Anne Murray,You Won't See Me
100,Anne Murray,I Just Fall In Love Again
101,Anne Murray,Danny's Song
102,Aretha Franklin,Baby I Love You
103,Aretha Franklin,I Knew You Were Waiting
104,Aretha Franklin,Freeway Of Love
105,Aretha Franklin,Day Dreaming
106,Aretha Franklin,Spanish Harlem
107,Argent,Hold Your Head Up
108,Ariana Grande,One Last Time
109,Ariana Grande,The Way
110,Ariana Grande,Break Free
111,Ariana Grande,Love Me Harder
112,Arlo Guthrie,The City Of New Orleans
113,Arrested Development,Mr. Wendal
114,Arrested Development,Tennessee
115,Arrested Development,People Everyday
116,Ashanti,Rock Wit U
117,Ashanti,Happy
118,Ashlee Simpson,Pieces of Me
119,Atlanta Rhythm Section,So In To You
120,Atlanta Rhythm Section,Imaginary Lover
121,Atlantic Starr,Masterpiece
122,Avant,Read your Mind
123,Avant,Separated
124,Average White Band,Cut The Cake
125,Avicii,Hey Brother
126,Avril Lavigne,What The Hell
127,Avril Lavigne,My Happy Ending
128,Avril Lavigne,Keep Holding On
129,B.J. Thomas,I'm So Lonesome I Could Cry
130,Babyface,When Can I See You
131,Babyface,Never Keeping Secrets
132,Babyface,Every Time I Close My Eyes
133,Bachelors,Diane
134,Bachman-Turner Overdrive,Takin' Care Of Business
135,Backstreet Boys,All I Have To Give
136,Backstreet Boys,Incomplete
137,Backstreet Boys,Show Me The Meaning Of Being Lonely
138,Bad Company,Rock 'N' Roll Fantasy
139,Bad Company,Feel Like Makin' Love
140,Bad English,Price Of Love
141,Bad English,When I See You Smile
142,Bad Meets Evil,Lighters
143,Badfinger,Come And Get It
144,Baltimora,Tarzan Boy
145,Bananarama,Venus
146,Bananarama,Cruel Summer
147,Bananarama,I Heard A Rumour
148,Bangles,Manic Monday
149,Bangles,Eternal Flame
150,Bangles,In Your Room
151,Bangles,Hazy Shade Of Winter
152,Barbra Streisand,Woman In Love
153,Barbra Streisand,The Main Event
154,Barbra Streisand,I Finally Found Someone
155,Barbra Streisand,Comin' In And Out Of Your Life
156,Barbra Streisand,No More Tears
157,Barbra Streisand,Guilty
158,Barbra Streisand,My Heart Belongs To Me
159,Barenaked Ladies,One Week
160,Barry Manilow,Could It Be Magic
161,Barry Manilow,Copacabana
162,Barry Manilow,Weekend In New England
163,Barry Manilow,Looks Like We Made It
164,Barry Manilow,Can't Smile Without You
165,Barry Manilow,Mandy
166,Barry White,"You're The First, The Last, My Everything"
167,Barry White,I'm Gonna Love You Just A Little More
168,Barry White,"Never, Never Gonna Give You Up"
169,Bay City Rollers,Saturday Night
170,Beach Boys,Surfer Girl
171,Beach Boys,Kokomo
172,Beach Boys,California Girls
173,Beach Boys,Sloop John B
174,Beach Boys,Good Vibrations
175,Beatles,Get Back
176,Beatles,Ticket To Ride
177,Beatles,Lady Madonna
178,Beatles,Do You Want To Know A Secret
179,Beatles,All You Need Is Love
180,Beatles,Can't Buy Me Love
181,Beatles,Eight Days A Week
182,Beatles,Twist And Shout
183,Beatles,Penny Lane
184,Beatles,Paperback Writer
185,Becky G,Shower
186,Bee Gees,I've Gotta Get A Message To You
187,Bee Gees,You Should Be Dancing
188,Bee Gees,Love You Inside Out
189,Belinda Carlisle,I Get Weak
190,Belinda Carlisle,Mad About You
191,Bellamy Brothers,Let Your Love Flow
192,Ben E. King,Stand By Me
193,Ben E. King,Spanish Harlem
194,Berlin,Take My Breath Away
195,Bert Kaempfert,Wonderland By Night
196,Betty Everett,The Shoop Shoop Song
197,Betty Wright,Clean Up Woman
198,Beyonce,If I Were A Boy
199,Beyonce,Halo
200,Beyonce,Drunk In Love
201,Beyonce,Beautiful Liar
202,Beyonce,Sweet Dreams
203,Big Sean,Dance
204,Big Sean,I Don't F**k With You
205,Bill Withers,Ain't No Sunshine
206,Billy Idol,To Be A Lover
207,Billy Idol,Eyes Without A Face
208,Billy Joel,Allentown
209,Billy Joel,Uptown Girl
210,Billy Joel,My Life
211,Billy Joel,We Didn't Start The Fire
212,Billy Joel,Tell Her About It
213,Billy Joel,An Innocent Man
214,Billy Joel,The River Of Dreams
215,Billy Ocean,Loverboy
216,Billy Ocean,When The Going Gets Tough
217,Billy Ocean,Caribbean Queen
218,Billy Ocean,Suddenly
219,Billy Preston,Nothing From Nothing
220,Billy Swan,I Can Help
221,Black Eyed Peas,Meet Me Halfway
222,Black Eyed Peas,Where Is The Love?
223,Blake Shelton,Honey Bee
224,Blake Shelton,Boys 'Round Here
225,Blessid Union Of Souls,I Believe
226,Blink 182,All The Small Things
227,"Blood, Sweat and Tears",Spinning Wheel
228,"Blood, Sweat and Tears",You've Made Me So Very Happy
229,Blue Cheer,Summertime Blues
230,Blues Traveler,Hook
231,Bob Dylan,Like A Rolling Stone
232,Bob Dylan,Lay Lady Lay
233,Bob Seger,Against The Wind
234,Bob Seger,Night Moves
235,Bob Seger,Fire Lake
236,Bob Seger,Still The Same
237,Bobby Brown,Every Little Step
238,Bobby Brown,Good Enough
239,Bobby Brown,Humpin' Around
240,Bobby Caldwell,What You Won't Do For Love
241,Bobby Darin,Beyond The Sea
242,Bobby Darin,If I Were A Carpenter
243,Bobby Darin,You're The Reason I'm Living
244,Bobby Darin,Things
245,Bobby Hebb,Sunny
246,Bobby McFerrin,"Don't Worry, Be Happy"
247,Bobby Rydell,Swingin' School
248,Bobby Rydell,Volare
249,Bobby Vinton,Blue On Blue
250,Bobby Womack,Lookin' For A Love
251,Bodeans,Closer To Free
252,Bon Jovi,You Give Love A Bad Name
253,Bon Jovi,Wanted Dead Or Alive
254,Bon Jovi,This Ain't A Love Song
255,Bon Jovi,Bad Medicine
256,Bon Jovi,Born To Be My Baby
257,Bon Jovi,Bed Of Roses
258,Bon Jovi,I'll Be There For You
259,Bon Jovi,Who Says you can't Go Home
260,Bone Thugs-N-Harmony,I Tried
261,Bone Thugs-N-Harmony,Look Into My Eyes
262,Bonnie Raitt,Something To Talk About
263,Bonnie Tyler,It's A Heartache
264,Boston,Amanda
265,Bow Wow,Let Me Hold You
266,Bow Wow,Like You
267,Bow Wow,Shortie Like Mine
268,Boys Like Girls,Love Drunk
269,Boys Like Girls,Two Is Better Than One
270,Boyz II Men,A Song For Mama
271,Boyz II Men,It's So Hard To Say Goodbye To Yesterday
272,Boz Scaggs,Lowdown
273,Boz Scaggs,Lido Shuffle
274,Brandy,What About Us?
275,Brandy,I Wanna Be Down
276,Brandy,Baby
277,Brantley Gilbert,Bottoms Up
278,Bread,Lost Without Your Love
279,Bread,If
280,Bread,Everything I Own
281,Breathe,How Can I Fall?
282,Brenda Lee,That's All You Gotta Do
283,Brenda Lee,I Want To Be Wanted
284,Brenda Lee,Coming On Strong
285,Brenda Lee,Everybody Loves Me But You
286,Brenda Lee,Break It To Me Gently
287,Brenda Lee,Losing You
288,Brenton Wood,Gimme Little Sign
289,Brian McKnight,One Last Cry
290,Brick,Dazz
291,Britney Spears,Toxic
292,Britney Spears,Circus
293,Britney Spears,Hold It Against Me
294,Britney Spears,I Wanna Go
295,Britney Spears,Womanizer
296,Britney Spears,3
