title,artist,Track Name,Artist Name(s)
(Everything I Do) I Do It For You,Bryan Adams,(Everything I Do) I Do It For You,Bryan Adams
(I Can't Get No) Satisfaction,Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones
(Just Like) Starting Over,John Lennon,(Just Like) Starting Over - Remastered 2010,John Lennon
(Love Is) Thicker Than Water,Andy Gibb,(Love Is) Thicker Than Water,Andy Gibb
(Sittin' On) The Dock Of The Bay,Otis Redding,(Sittin' On) the Dock of the Bay,Otis Redding
(They Long To Be) Close To You,Carpenters,(They Long To Be) Close To You,Carpenters
(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge
...Baby One More Time,Britney Spears,...Baby One More Time,Britney Spears
"1, 2 Step",Ciara,"One, Two Step (feat. Missy Elliott)","Ciara, Missy Elliott"
21 Questions,50 Cent,21 Questions,"50 Cent, Nate Dogg"
4 Minutes,Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),"Madonna, Justin Timberlake, Timbaland"
50 Ways To Leave Your Lover,Paul Simon,50 Ways to Leave Your Lover,Paul Simon
679,Fetty Wap,679 (feat. Remy Boyz),"Fetty Wap, Remy Boyz"
9 To 5,Dolly Parton,9 to 5,Dolly Parton
A Hard Day's Night,Beatles,A Hard Day's Night - Remastered 2009,The Beatles
A Little More Love,Olivia Newton-John,A Little More Love,Olivia Newton-John
A Thousand Miles,Vanessa Carlton,A Thousand Miles,Vanessa Carlton
A Whole New World,Peabo Bryson,A Whole New World (Aladdin's Theme),"Peabo Bryson, Regina Belle"
A Woman Needs Love,Ray Parker Jr.,A Woman Needs Love (Just Like You Do),"Ray Parker Jr., Raydio"
ABC,Jackson 5,ABC,The Jackson 5
Abracadabra,Steve Miller Band,Abracadabra,Steve Miller Band
Achy Breaky Heart,Billy Ray Cyrus,Achy Breaky Heart,Billy Ray Cyrus
Addicted To Love,Robert Palmer,Addicted To Love,Robert Palmer
Adia,Sarah McLachlan,Adia,Sarah McLachlan
Again,Janet Jackson,Again,Janet Jackson
Again,Lenny Kravitz,Again,Lenny Kravitz
Against All Odds,Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins
Ain't No Mountain High Enough,Diana Ross,Ain't No Mountain High Enough,"Diana Ross & The Supremes, The Temptations"
Ain't No Sunshine,Bill Withers,Ain't No Sunshine,Bill Withers
Ain't it Funny,Jennifer Lopez,Ain't It Funny,Jennifer Lopez
Alive And Kicking,Simple Minds,Alive And Kicking,Simple Minds
All About That Bass,Meghan Trainor,All About That Bass,Meghan Trainor
All Around The World,Lisa Stansfield,All Around the World - Remastered,"Lisa Stansfield, Ian Devaney, Andy Morris"
All For Love,"Bryan Adams, Rod Stewart and Sting","All For Love - From ""The Three Musketeers""","Bryan Adams, Sting, Rod Stewart"
All I Have,Jennifer Lopez,All I Have (feat. LL Cool J),"Jennifer Lopez, LL COOL J"
All I Wanna Do Is Make Love To You,Heart,All I Wanna Do Is Make Love To You,Heart
All Night Long,Lionel Richie,All Night Long,Ricardo Caliente
All Of Me,John Legend,All of Me,John Legend
All Star,Smash Mouth,All Star,Smash Mouth
All That She Wants,Ace Of Base,All That She Wants,Ace of Base
All The Man That I Need,Whitney Houston,All The Man That I Need,Whitney Houston
Alone,Heart,Alone,Heart
Alone Again,Gilbert O'Sullivan,Alone Again (Naturally),Gilbert O'Sullivan
Always,Atlantic Starr,Always,Atlantic Starr
Always,Bon Jovi,Always,Bon Jovi
Always Be My Baby,Mariah Carey,Always Be My Baby,Mariah Carey
Always On My Mind,Willie Nelson,Always On My Mind,Willie Nelson
Always on Time,Ja Rule,Always On Time,"Ja Rule, Ashanti"
Am I Wrong,Nico and Vinz,Am I Wrong,Nico & Vinz
American Pie,Don McLean,American Pie,Don McLean
Angel,Sarah McLachlan,Angel,"Sarah McLachlan, Katherine Jenkins"
Angel,Shaggy,Angel,"Shaggy, Rayvon"
Another Day In Paradise,Phil Collins,Another Day in Paradise - 2016 Remaster,Phil Collins
Anything For You,Gloria Estefan and Miami Sound Machine,Anything For You,"Gloria Estefan, Miami Sound Machine"
Apologize,Timbaland,Apologize,"Timbaland, OneRepublic"
At Seventeen,Janis Ian,At Seventeen,Janis Ian
Babe,Styx,Babe,Styx
Baby Boy,Beyonce,Baby Boy (feat. Sean Paul),"Beyoncé, Sean Paul"
Baby Come Back,Player,Baby Come Back,Player
Baby Don't Get Hooked On Me,Mac Davis,Baby Don't Get Hooked on Me,Mac Davis
Baby Got Back,Sir Mix-a-Lot,Baby Got Back,Sir Mix-A-Lot
Baby I Love Your Way,Big Mountain,"Baby, I Love Your Way","Big Mountain, Tom Lord-Alge"
Back At One,Brian McKnight,Back At One,Brian McKnight
Bad Bad Leroy Brown,Jim Croce,"Bad, Bad Leroy Brown",Jim Croce
Bad Blood,Taylor Swift,Bad Blood,Taylor Swift
Bad Day,Daniel Powter,Bad Day,Daniel Powter
Bad Romance,Lady Gaga,Bad Romance,Lady Gaga
Band Of Gold,Freda Payne,Band Of Gold (Single Mix),Freda Payne
Band On The Run,Paul McCartney,Band On The Run,"Paul McCartney, Wings"
Be Without You,Mary J. Blige,Be Without You,Mary J. Blige
Beat It,Michael Jackson,Beat It,Michael Jackson
Beautiful,Christina Aguilera,Beautiful,Christina Aguilera
Because I Love You,Stevie B,Because I Love You (The Postman Song),Stevie B
Because You Loved Me,Celine Dion,Because You Loved Me,Céline Dion
Been Around The World,Puff Daddy,Been Around the World,"Diddy, Mase, The Notorious B.I.G."
Before He Cheats,Carrie Underwood,Before He Cheats,Carrie Underwood
Behind These Hazel Eyes,Kelly Clarkson,Behind These Hazel Eyes,Kelly Clarkson
Being With You,Smokey Robinson,Being With You,Smokey Robinson
Believe,Cher,Believe,Cher
Ben,Michael Jackson,Ben - Single Version,Michael Jackson
Bennie And The Jets,Elton John,"Bennie And The Jets - Recorded At The Colosseum, Caesars Palace, Las Vegas",Elton John
Bent,matchbox twenty,Bent,Matchbox Twenty
Bette Davis Eyes,Kim Carnes,Bette Davis Eyes,Kim Carnes
Beverly Hills,Weezer,Beverly Hills,Weezer
Big Girls Don't Cry,Fergie,Big Girls Don't Cry (Personal),Fergie
Billie Jean,Michael Jackson,Billie Jean,Michael Jackson
Billionaire,Travie McCoy,Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars"
"Bills, Bills, Bills",Destiny's Child,"Bills, Bills, Bills",Destiny's Child
Bitch,Meredith Brooks,Bitch,Meredith Brooks
Black Or White,Michael Jackson,Black or White,Michael Jackson
Black Velvet,Alannah Myles,Black Velvet,Alannah Myles
Black Water,Doobie Brothers,Black Water,The Doobie Brothers
Blame It,Jamie Foxx,Blame It,"Jamie Foxx, T-Pain"
Blame It On The Rain,Milli Vanilli,Blame It on the Rain,Milli Vanilli
Blank Space,Taylor Swift,Blank Space,Taylor Swift
Blaze Of Glory,Jon Bon Jovi,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi
Bleeding Love,Leona Lewis,Bleeding Love,Leona Lewis
Blowin' In The Wind,"Peter, Paul and Mary",Blowin' in the Wind,"Peter\, Paul and Mary"
Blue Velvet,Bobby Vinton,Blue Velvet,Bobby Vinton
Blurred Lines,Robin Thicke,Blurred Lines,"Robin Thicke, T.I., Pharrell Williams"
Blurry,Puddle Of Mudd,Blurry,Puddle Of Mudd
Boom Boom Pow,Black Eyed Peas,Boom Boom Pow,Black Eyed Peas
Born This Way,Lady Gaga,Born This Way,Lady Gaga
Boulevard Of Broken Dreams,Green Day,Boulevard of Broken Dreams,Green Day
Break Your Heart,Taio Cruz,Break Your Heart,Taio Cruz
Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard to Do,Neil Sedaka
Breathe,Faith Hill,Breathe,Faith Hill
Breathe Again,Toni Braxton,Breathe Again,Toni Braxton
Bridge Over Troubled Water,Simon and Garfunkel,Bridge Over Troubled Water,Simon & Garfunkel
Bring Me To Life,Evanescence,I Can't Stand The Rain,Clinic
Broken Wings,Mr. Mister,Broken Wings,Mr. Mister
Brown Sugar,Rolling Stones,Brown Sugar - Live,The Rolling Stones
Bubbly,Colbie Caillat,Tidløs,Postgirobygget
Bump N' Grind,R. Kelly,Bump n' Grind,R. Kelly
"Bump, Bump, Bump",B2K,"Bump, Bump, Bump (feat. P. Diddy)","B2K, Diddy"
Burn,Usher,Burn,Usher
Burning Heart,Survivor,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor
Buttons,Pussycat Dolls,Buttons,The Pussycat Dolls
Buy U A Drank,T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc"
C'est La Vie,Robbie Nevil,C'est La Vie,Robbie Nevil
California Gurls,Katy Perry,California Gurls,"Katy Perry, Snoop Dogg"
Call Me,Blondie,Call Me,Blondie
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,Carly Rae Jepsen
Can You Feel The Love Tonight,Elton John,"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",Elton John
