title,artist,Track Name,Artist Name(s)
(It's Just) The Way That You Love Me,Paula Abdul,The Way That You Love Me,Paula Abdul
(Oh) Pretty Woman,Van Halen,(Oh) Pretty Woman - 2015 Remaster,Van Halen
(She's) Sexy + 17,Stray Cats,(She's) Sexy and 17,Stray Cats
(You Gotta) Fight For Your Right,Beastie Boys,Fight For Your Right,Beastie Boys
19 Somethin',Mark Wills,19 Somethin',Mark Wills
1st Of Tha Month,Bone Thugs-N-Harmony,1st of Tha Month,Bone Thugs-N-Harmony
21 Guns,Green Day,21 Guns,Green Day
3,Britney Spears,3,Britney Spears
4 Seasons Of Loneliness,Boyz II Men,4 Seasons Of Loneliness,Boyz II Men
5 O'Clock,T-Pain,5 O'Clock (feat. Lily Allen & Wiz Khalifa),"T-Pain, Lily Allen, Wiz Khalifa"
50 Ways To Say Goodbye,Train,50 Ways to Say Goodbye,Train
634-5789,Wilson Pickett,634-5789,Wilson Pickett
7 Things,Miley Cyrus,7 Things - Single Version,Miley Cyrus
A Different Corner,George Michael,A Different Corner,George Michael
A Fool Never Learns,Andy Williams,A Fool Never Learns - Single Version,Andy Williams
A Love Bizarre,Sheila E.,A Love Bizarre,Sheila E.
A Love Song,Anne Murray,A Love Song,Anne Murray
A New Day has Come,Celine Dion,A New Day Has Come - Radio Remix,Céline Dion
A Rose Is Still A Rose,Aretha Franklin,A Rose Is Still a Rose,Aretha Franklin
A Thousand Years,Christina Perri,A Thousand Years,Christina Perri
Addicted,Saving Abel,Addicted,Saving Abel
Adore You,Miley Cyrus,Adore You,Miley Cyrus
After All,Cher,After All (Love Theme From Chances Are),"Cher, Peter Cetera"
Ain't No Mountain High Enough,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough - Mono Version,"Marvin Gaye, Tammi Terrell"
All For You,Sister Hazel,All For You,Sister Hazel
All I Do Is Win,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled
All I Really Want To Do,Cher,All I Really Want To Do,Cher
All Night Long,Joe Walsh,All Night Long - Live,Joe Walsh
All Or Nothing,Milli Vanilli,All or Nothing,Milli Vanilli
All She Wants To Do Is Dance,Don Henley,All She Wants To Do Is Dance,Don Henley
All Summer Long,Kid Rock,All Summer Long,Kid Rock
All This Love,Debarge,All This Love - Single Version,DeBarge
Almost Doesn't Count,Brandy,Almost Doesn't Count,Brandy
Already Gone,Kelly Clarkson,Already Gone,Kelly Clarkson
Alright,Kris Kross,Alright (feat. Super Cat),"Kris Kross, Super Cat"
Always In My Heart,Tevin Campbell,Always in My Heart,Tevin Campbell
Always On My Mind,Pet Shop Boys,Always on My Mind,Pet Shop Boys
Amazing Grace,Judy Collins,Amazing Grace,Judy Collins
American Honey,Lady Antebellum,American Honey,Lady Antebellum
American Soldier,Toby Keith,American Soldier,Toby Keith
Amnesia,5 Seconds Of Summer,Amnesia,5 Seconds of Summer
And Our Feelings,Babyface,And Our Feelings,Babyface
Angel,Madonna,Angel,Madonna
Angie,Rolling Stones,Angie,The Rolling Stones
Animal,Neon Trees,Animal,Neon Trees
Another Saturday Night,Sam Cooke,Another Saturday Night,Sam Cooke
Any Day Now,Ronnie Milsap,Any Day Now,Ronnie Milsap
Anything,SWV,Anything,SWV
Anything,Jaheim,Anything (feat. Next),"Jaheim, Next"
Are You Gonna Kiss Me Or Not,Thompson Square,Are You Gonna Kiss Me or Not,Thompson Square
Are You Lonesome Tonight,Elvis Presley,Are You Lonesome Tonight?,Elvis Presley
Arthur's Theme,Christopher Cross,Arthur's Theme (Best That You Can Do),Christopher Cross
As Good As I Once Was,Toby Keith,As Good As I Once Was,Toby Keith
