playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
1uebWA75dLHSkk7XavGMaB,Because the Night,3huXBuHMJFygfIUbH6erg6,https://p.scdn.co/mp3-preview/21672fd56658df2b6e807bdd123c119117a9b088?cid=961d9cfe0e7c426da68d7932c2693fc9,2016-06-03,"['ectofolk', 'lilith', 'new wave', 'new wave pop', 'pop rock', 'singer-songwriter']",0.471,0.733,-4.104,0.0366,0.211,2.62e-06,0.7,0.223,122.093,11,0,338576,34.0
1uebWA75dLHSkk7XavGMaB,I'm Not In Love,5HQEmiV2lKnSO6qa2fsR7x,https://p.scdn.co/mp3-preview/97b17a635a4cd0d0af4ca38066eb37ce74ed28e3?cid=961d9cfe0e7c426da68d7932c2693fc9,1975,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock']",0.404,0.523,-15.7,0.0575,0.685,0.000498,0.282,0.164,133.738,4,1,366640,71.0
1uebWA75dLHSkk7XavGMaB,The Things We Do For Love,6KEWtSOGKpIXGw6l1uJgsR,https://p.scdn.co/mp3-preview/9753ed4bec17d170ebf91b19145f1295496b94a6?cid=961d9cfe0e7c426da68d7932c2693fc9,1977,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'new romantic', 'soft rock', 'yacht rock']",0.637,0.528,-9.837,0.0394,0.163,0.0,0.122,0.781,106.949,1,1,207573,68.0
1uebWA75dLHSkk7XavGMaB,"Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix",6zOg9gP62RJSsKFeOBAgvH,https://p.scdn.co/mp3-preview/f92c181372dff481b2b24834ca121f3a4ebd3f90?cid=961d9cfe0e7c426da68d7932c2693fc9,1996-08-27,"['atl hip hop', 'boy band', 'contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",0.764,0.525,-5.969,0.048,0.0296,0.0,0.0993,0.787,95.813,8,1,289413,65.0
1uebWA75dLHSkk7XavGMaB,Cupid,3kVIFDE3G89I2RPVkiRaRj,https://p.scdn.co/mp3-preview/e56eaed5088739e813d5ffdf2b8329d4dfe9264f?cid=961d9cfe0e7c426da68d7932c2693fc9,1996-08-27,"['atl hip hop', 'boy band', 'contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",0.685,0.38,-11.219,0.112,0.373,0.0,0.0371,0.87,175.562,8,1,252267,65.0
1uebWA75dLHSkk7XavGMaB,Anywhere,0Zze3tFRSNwL6KllmYjLgZ,https://p.scdn.co/mp3-preview/37f1958f9cd3f29883884d7914e1757a5eb0ce74?cid=961d9cfe0e7c426da68d7932c2693fc9,1998,"['atl hip hop', 'boy band', 'contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",0.592,0.499,-7.806,0.277,0.174,0.0,0.122,0.863,125.824,5,1,244416,57.0
1uebWA75dLHSkk7XavGMaB,It's Over Now,769geiA8btidGHda4BBDOJ,https://p.scdn.co/mp3-preview/e509bb82d4a1af570fad6566244a43fbb11a260c?cid=961d9cfe0e7c426da68d7932c2693fc9,2001,"['atl hip hop', 'boy band', 'contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",0.66,0.71,-4.541,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,1,1,264933,57.0
1uebWA75dLHSkk7XavGMaB,No Lie,4Ox97hNeJSWFCZ8vp76vog,https://p.scdn.co/mp3-preview/cd3b148540b80eebe4dcee607b05537989751962?cid=961d9cfe0e7c426da68d7932c2693fc9,2012-01-01,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.634,0.665,-5.984,0.176,0.0172,0.0,0.365,0.611,131.108,6,0,237827,49.0
1uebWA75dLHSkk7XavGMaB,I Get Around,4voEoczU7Ijborps9XF1n3,https://p.scdn.co/mp3-preview/5bf399850bcb1bb4be611faefced089288f38f39?cid=961d9cfe0e7c426da68d7932c2693fc9,1993-02-16,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.846,0.416,-13.767,0.118,0.156,9.34e-06,0.238,0.645,96.188,10,0,259000,70.0
1uebWA75dLHSkk7XavGMaB,Keep Ya Head Up,0XRbYXQUymj9SJkrr8YK5B,https://p.scdn.co/mp3-preview/bde23ad2e6064065f8a956ea67f32342b15b8b27?cid=961d9cfe0e7c426da68d7932c2693fc9,1993-02-16,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.598,0.732,-7.013,0.425,0.144,0.0,0.508,0.595,172.329,4,1,262507,72.0
