Track name, Artist name, Album, Playlist name, Type, ISRC
Hold On,Wilson Phillips,Wilson Phillips,hits,Playlist track,USSB29000002
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,It Must Have Been Love,hits,Playlist track,SEAMA8777131
Nothing Compares 2 U - Live,Sinéad O'Connor,¡Released! The Human Rights Concerts 1990: An Embrace Of Hope...,hits,Playlist track,GBCBR1300075
Poison,Bell Biv DeVoe,Poison,hits,Playlist track,USMC19031167
Vogue,Madonna,Celebration (double disc version),hits,Playlist track,USWB10903600
Vision of Love,Mariah Carey,Mariah Carey,hits,Playlist track,USSM19000412
Another Day in Paradise - 2016 Remaster,Phil Collins,...But Seriously (Deluxe Edition),hits,Playlist track,USRH11602150
Hold On,En Vogue,Old School Beats,hits,Playlist track,USEE10900573
Cradle Of Love - Remastered,Billy Idol,The Very Best Of Billy Idol: Idolize Yourself,hits,Playlist track,USCH30100013
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,Blaze Of Glory,hits,Playlist track,USPG19090003
Do Me!,Bell Biv DeVoe,Poison,hits,Playlist track,USMC19031151
How Am I Supposed To Live Without You,Michael Bolton,A Symphony Of Hits,hits,Playlist track,US25A1900007
Pump Up The Jam,Technotronic,Pump Up The Jam,hits,Playlist track,BED018901375
Opposites Attract,Paula Abdul,Forever Your Girl,hits,Playlist track,USVI28800019
Escapade,Janet Jackson,Iconic Women of the 90's,hits,Playlist track,USAM18900717
All I Wanna Do Is Make Love To You,Heart,Brigade,hits,Playlist track,USCA29000284
Close To You,Maxi Priest,Bonafide,hits,Playlist track,GBAAA9000061
Black Velvet,Alannah Myles,Alannah Myles,hits,Playlist track,USAT20103053
Release Me,Wilson Phillips,Wilson Phillips,hits,Playlist track,USSB29000014
Don't Know Much (with Aaron Neville),Linda Ronstadt,Cry Like a Rainstorm Howl Like the Wind (feat. Aaron Neville),hits,Playlist track,USEE10170735
What's Love Got to Do with It,Tina Turner,What's Love Got to Do with It?,hits,Playlist track,USCA28400002
Say Say Say,Paul McCartney,All The Best (UK Version),hits,Playlist track,GBCCS8300875
Footloose,Kenny Loggins,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",hits,Playlist track,USSM18400107
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,The Singles (Expanded),hits,Playlist track,USRH11603367
Jump - 2015 Remaster,Van Halen,1984 (Remastered),hits,Playlist track,USWB11403680
Hello,Lionel Richie,Can't Slow Down,hits,Playlist track,USMO18390012
Owner of a Lonely Heart,Yes,90125 (Deluxe Version),hits,Playlist track,USAT20702539
Ghostbusters,Ray Parker Jr.,Greatest Hits,hits,Playlist track,USAR18400117
Karma Chameleon - Remastered 2002,Culture Club,Colour By Numbers,hits,Playlist track,GBAAA0201011
Missing You - Single Version,John Waite,Driving,hits,Playlist track,USEM38400048
All Night Long (All Night) - Single Version,Lionel Richie,Back To Front,hits,Playlist track,USMO18390005
Let's Hear It for the Boy,Deniece Williams,80s 100 Hits,hits,Playlist track,USSM18400508
Dancing In the Dark,Bruce Springsteen,Born In The U.S.A.,hits,Playlist track,USSM18400416
Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,hits,Playlist track,USSM18300548
Time After Time,Cyndi Lauper,She's So Unusual,hits,Playlist track,USSM18300650
Jump (Original Mix),The Pointer Sisters,Break Out (1983 Version - Expanded Edition),hits,Playlist track,USRC11000951
Self Control,Laura Branigan,Self Control,hits,Playlist track,USAT20903047
Like a Virgin,Madonna,Like a Virgin (Reissue),hits,Playlist track,USWB10002748
I Want to Know What Love Is - 1999 Remaster,Foreigner,Agent Provocateur,hits,Playlist track,USAT29900662
I Feel for You,Chaka Khan,I Feel for You,hits,Playlist track,USWB18400025
Out of Touch,Daryl Hall & John Oates,The Very Best of Daryl Hall / John Oates,hits,Playlist track,USRC10000836
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),hits,Playlist track,GBF088590110
Money For Nothing - Remastered 1996,Dire Straits,Brothers In Arms (Remastered 1996),hits,Playlist track,GBUM72102499
Crazy for You,Madonna,Celebration (double disc version),hits,Playlist track,USWB10903622
Take on Me,a-ha,Hunting High and Low (Deluxe Edition),hits,Playlist track,USWB11001072
Everytime You Go Away,Paul Young,Pure... Love,hits,Playlist track,GBBBN8500005
Can't Fight This Feeling,REO Speedwagon,Wheels Are Turnin',hits,Playlist track,USSM18400442
We Built This City,Starship,Knee Deep In The Hoopla,hits,Playlist track,USRC18503424
The Power Of Love,Huey Lewis & The News,Greatest Hits: Huey Lewis And The News,hits,Playlist track,USCA20600519
Don't You (Forget About Me) - Remastered 2001,Simple Minds,Celebrate (Greatest Hits / Expanded Edition),hits,Playlist track,GBAAA0100587
Cherish,Kool & The Gang,The Very Best Of Kool & The Gang (Reissue),hits,Playlist track,USPR39402110
St Elmo's Fire,John Parr,Letter to America,hits,Playlist track,GBMVM1100016
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",Glenn Frey,Above The Clouds - The Collection (Deluxe),hits,Playlist track,USMC18416576
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,hits,Playlist track,USAM19190012
Gonna Make You Sweat,C & C Music Factory,1991 O Dono Do Mundo Internacional,hits,Playlist track,USU6V9993346
Rush Rush,Paula Abdul,Spellbound,hits,Playlist track,USVI29100002
Unbelievable,EMF,Schubert Dip,hits,Playlist track,GBAYE9000089
More Than Words,Extreme,Extreme II - Pornograffitti,hits,Playlist track,USAM19090005
The First Time,Surface,The Best Of Surface...A Nice Time 4 Lovin,hits,Playlist track,USSM10027463
