Track name, Artist name, Album, Playlist name, Type, ISRC
I Go to Extremes,Billy Joel,Storm Front,non_hits,Playlist track,USSM18900214
Whip Appeal,Babyface,Tender Lover,non_hits,Playlist track,USSM19911515
Oh Girl,Paul Young,Other Voices (Expanded Edition),non_hits,Playlist track,GBBBN9000002
The Way That You Love Me,Paula Abdul,Forever Your Girl,non_hits,Playlist track,USVI28800030
When I'm Back On My Feet Again,Michael Bolton,Michael Bolton The Very Best,non_hits,Playlist track,USSM18900018
Make You Sweat,Keith Sweat,I'll Give All My Love to You,non_hits,Playlist track,USEE10100743
This One's for the Children,New Kids On The Block,"Merry, Merry Christmas",non_hits,Playlist track,USSM18900402
What It Takes,Aerosmith,Big Ones,non_hits,Playlist track,USIR10400838
Forever,KISS,Hot In The Shade,non_hits,Playlist track,USIR20000528
Just a Friend,Biz Markie,Biz's Baddest Beats: The Best of Biz Markie,non_hits,Playlist track,USRH10902676
Without You,Mötley Crüe,Dr. Feelgood (Deluxe Version),non_hits,Playlist track,USBY29900216
Swing The Mood,Jive Bunny and the Mastermixers,Jive Bunny And The Mastermixers The Biggest Party On The Planet,non_hits,Playlist track,GBCMJ9905669
Mentirosa,Mellow Man Ace,Escape From Havana,non_hits,Playlist track,USCA28901408
Nobody Told Me - Remastered 2010,John Lennon,Milk And Honey,non_hits,Playlist track,GBAYE1000908
Church Of The Poison Mind,Culture Club,At Worst...The Best Of Boy George And Culture Club,non_hits,Playlist track,GBAAA8300002
Think of Laura,Christopher Cross,Another Page,non_hits,Playlist track,USWB19903177
Time Will Reveal,DeBarge,In A Special Way,non_hits,Playlist track,USMO18382660
Wrapped Around Your Finger,The Police,Synchronicity (Remastered 2003),non_hits,Playlist track,GBAAM0201112
Pink Houses,John Mellencamp,Uh-HUH!,non_hits,Playlist track,USJM18300001
Head Over Heels,The Go-Go's,Greatest,non_hits,Playlist track,USIR38400005
The Longest Time,Billy Joel,An Innocent Man,non_hits,Playlist track,USSM18300273
Tonight,Kool & The Gang,In The Heart,non_hits,Playlist track,USIR20201034
"Dancing In the Sheets - From ""Footloose"" Soundtrack",Shalamar,Footloose (15th Anniversary Collectors' Edition),non_hits,Playlist track,USSM19803323
Undercover Of The Night - Remastered,The Rolling Stones,Undercover,non_hits,Playlist track,GBCJN8300001
On the Dark Side,John Cafferty & the Beaver Brown Band,Eddie and The Cruisers: The Unreleased Tapes,non_hits,Playlist track,USVR10400585
Major Tom,Peter Schilling,Major Tom,non_hits,Playlist track,DEK890500100
Magic - 2017 Remaster,The Cars,Heartbeat City (Expanded Edition),non_hits,Playlist track,USEE11700316
When You Close Your Eyes,Night Ranger,Rock In Japan: Greatest Hits Live,non_hits,Playlist track,USA560627589
Rock Me Tonite,Billy Squier,Signs Of Life,non_hits,Playlist track,USCA28700492
Solid,Ashford & Simpson,Solid,non_hits,Playlist track,USCA28700651
Angel,Madonna,Like a Virgin (Reissue),non_hits,Playlist track,USWB10002747
I'm On Fire,Bruce Springsteen,Born In The U.S.A.,non_hits,Playlist track,USSM18400411
Method of Modern Love,Daryl Hall & John Oates,Big Bam Boom (Expanded Edition),non_hits,Playlist track,USRC10301822
Lay Your Hands On Me,Thompson Twins,The Best of Thompson Twins Greatest Mixes,non_hits,Playlist track,GBARL8400086
Who's Holding Donna Now?,DeBarge,Rhythm Of The Night,non_hits,Playlist track,USMO18582645
