"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:57ysLbmFhxX9WL9e5QTAmz","The Way That You Love Me","spotify:artist:4PpmBoqphQusNFsxuVKb6j","Paula Abdul","spotify:album:7zduRJgS6v79QmNUhKGozu","Forever Your Girl","spotify:artist:4PpmBoqphQusNFsxuVKb6j","Paula Abdul","1988-01-01","https://i.scdn.co/image/ab67616d0000b273cb3cea7439a97660b3aedb8c","1","1","322666","https://p.scdn.co/mp3-preview/7839074453facbd941a933ff507f5f3b2054d00a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USVI28800030","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:7ptv3yXdBWwzO7rVA62rwy","(Oh) Pretty Woman - 2015 Remaster","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","spotify:album:6Ft0JILsEo5ZP2ddjECznc","Diver Down (Remastered)","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","1982-04-14","https://i.scdn.co/image/ab67616d0000b27388a6b607c2729f2b0c71da7c","1","6","172670","https://p.scdn.co/mp3-preview/49450ec0562cd3152aaec3dd7824db3f96fd3765?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USWB11500521","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:3kijKl7Er0lhgJsGAsNs1w","(She's) Sexy and 17","spotify:artist:2ibPkysx2PXqWLmxFD7jSg","Stray Cats","spotify:album:0hyTK3jR36b83PBr0h61JR","Rant 'N' Rave With The Stray Cats","spotify:artist:2ibPkysx2PXqWLmxFD7jSg","Stray Cats","1983-08-15","https://i.scdn.co/image/ab67616d0000b27397438215fd2595a841fd51b4","1","6","210866","https://p.scdn.co/mp3-preview/478ad127c2d29d7f31f75bff5212ec84d0872454?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBARK8300047","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:5NLuC70kZQv8q34QyQa1DP","Fight For Your Right","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:11oR0ZuqB3ucZwb5TGbZxb","Licensed To Ill","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1986-11-15","https://i.scdn.co/image/ab67616d0000b273a7ea08ab3914c5fb2084a8ac","1","7","208653","https://p.scdn.co/mp3-preview/707ddc00a12e013b580a7b8e51fa0e23f40a76bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USDJ28600007","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:0fwYreBOZKkfhmUWEf2vyB","19 Somethin'","spotify:artist:0dlwjJe4kg9TgOMN184bJF","Mark Wills","spotify:album:5Y27eky7PzfE36gLJLAVHK","Smokey Mountain Rain","spotify:artist:0dlwjJe4kg9TgOMN184bJF","Mark Wills","2013-10-14","https://i.scdn.co/image/ab67616d0000b273cd2baf22336fc5251908810b","1","8","202651","https://p.scdn.co/mp3-preview/22151b782ce1faa1e2623f312506a79e8929fb80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","UK3XS1301705","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr","1st of Tha Month","spotify:artist:5spEJXLwD1sKUdC2bnOHPg","Bone Thugs-N-Harmony","spotify:album:3r25XjxAmLMOhOWoV6X8N9","E. 1999 Eternal","spotify:artist:5spEJXLwD1sKUdC2bnOHPg","Bone Thugs-N-Harmony","1995-07-25","https://i.scdn.co/image/ab67616d0000b273e49f4677129d4b8b9d9f50ac","1","12","314680","https://p.scdn.co/mp3-preview/1e90bcbb28865fc68bd71a05c685857aac07e891?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","US23S9528112","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:64yrDBpcdwEdNY9loyEGbX","21 Guns","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:1AHZd3C3S8m8fFrhFxyk79","21st Century Breakdown","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2009-05-15","https://i.scdn.co/image/ab67616d0000b273c2ced39899b0d67cd5a724fa","1","16","321093","https://p.scdn.co/mp3-preview/431b2787cb98a4dea90606248e0a835afbf6b6f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRE10900679","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:6pymOcrCnMuCWdgGVTvUgP","3","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:325wcm5wMnlfjmKZ8PXIIn","The Singles Collection","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2009-11-09","https://i.scdn.co/image/ab67616d0000b273cc8fa71a43ad87783b3f64be","1","57","213173","https://p.scdn.co/mp3-preview/ddbd0f9d3ec4e6de41bb800d1fd584a6150d5ff3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USJI10900602","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:1TyNecZDYU3BP3EitfpgnT","4 Seasons Of Loneliness","spotify:artist:6O74knDqdv3XaWtkII7Xjp","Boyz II Men","spotify:album:50NJ3kg2byqp460tCPpRF7","Evolution","spotify:artist:6O74knDqdv3XaWtkII7Xjp","Boyz II Men","1997-03-23","https://i.scdn.co/image/ab67616d0000b273d8768421219707e1851cafd9","1","3","292400","https://p.scdn.co/mp3-preview/1beacc9e86043e85176cac537749f7b540d63384?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USMO19783234","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:42EMFjvFtOki8MA0JNZqVK","5 O'Clock (feat. Lily Allen & Wiz Khalifa)","spotify:artist:3aQeKQSyrW4qWr35idm0cy, spotify:artist:13saZpZnCDWOI9D4IJhp1f, spotify:artist:137W8MRPWKqSmrBGDBFSop","T-Pain, Lily Allen, Wiz Khalifa","spotify:album:7rWNM4Q11nvmpHOuSnLFME","Revolver (Expanded Edition)","spotify:artist:3aQeKQSyrW4qWr35idm0cy","T-Pain","2011-12-06","https://i.scdn.co/image/ab67616d0000b2730e39c79a29ace0bf642b8415","1","5","281280","https://p.scdn.co/mp3-preview/cade55d6fe51c2e274e072670013aa4e5b5f5ee0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USJI11100299","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:2NniAhAtkRACaMeYt48xlD","50 Ways to Say Goodbye","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","spotify:album:5zseibu9WEsPaZmkJUMkz1","California 37","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","2012-04-17","https://i.scdn.co/image/ab67616d0000b273bde344cc54eedc35050f4c61","1","5","247946","https://p.scdn.co/mp3-preview/859a26b5e46ac6ddc3e0f8d01fbb3159e3a6afe9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USSM11201533","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:5Ju2ZF0o78C89oFrAhvDIC","634-5789","spotify:artist:0N5PyKJzS3M1XNlaCL7bbE","Wilson Pickett","spotify:album:3fxWzXNMhTz01uShzMARnm","The Exciting Wilson Pickett","spotify:artist:0N5PyKJzS3M1XNlaCL7bbE","Wilson Pickett","1966","https://i.scdn.co/image/ab67616d0000b273e9417411c156207132d4c003","1","3","178586","https://p.scdn.co/mp3-preview/f85c1957747732f129f8f4b2fbf9abe9fce0fed6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USAT29902206","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:5ecZWU5uQOiCVSnPxBZNmT","7 Things - Single Version","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:0Yu3czJNOQ68fZgkvpjuHL","Breakout","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2008-01-01","https://i.scdn.co/image/ab67616d0000b273e345458751c029f411db3d5b","1","2","213453","https://p.scdn.co/mp3-preview/c72ced8af5595168702ef098027459ce210fb4b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USHR10823877","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:7njBQO43OYrfIqwXO6Gcyv","A Different Corner","spotify:artist:19ra5tSw0tWufvUp8GotLo","George Michael","spotify:album:6ZJD7uT643TvniNyAk90bd","The Final","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","1986-11-25","https://i.scdn.co/image/ab67616d0000b273ee44e3a23aaaa941f7adb48d","1","11","237866","https://p.scdn.co/mp3-preview/682620544999716499160b4311d2ea737b3f06a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBBM8600001","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:78Uz5O2o00RpnNNlvOMl7K","A Fool Never Learns - Single Version","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:21n0NU4iyxyiTvtKSpa9x8","The Essential Andy Williams","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","2013-05-10","https://i.scdn.co/image/ab67616d0000b273ff31aec892b192b2032ebaf2","1","11","121786","https://p.scdn.co/mp3-preview/ae90e058ac10ce19ed355117a058402632632c54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USSM16301376","spotify:user:1139977116","2023-03-17T09:25:21Z"
"spotify:track:5R6ol4f8WCUCWNrB7Ymf99","A Love Bizarre","spotify:artist:6OQrOpxSIfPai3cFaN4v4P","Sheila E.","spotify:album:0Jkqv4qmznXpfa0tLzxG23","Romance 1600","spotify:artist:6OQrOpxSIfPai3cFaN4v4P","Sheila E.","1985","https://i.scdn.co/image/ab67616d0000b273be8aafbc1bd1ae9c860b98ea","1","3","738053","https://p.scdn.co/mp3-preview/c57f5bb3012653357d4295c927ae8f770cde2382?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USWB10200852","spotify:user:1139977116","2023-03-17T09:25:21Z"
