,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity,category
0,4WvZRxYq2ns3jdV7eHfALY,Hold On,4VZDv8sASBS8UruUBGTFdk,https://p.scdn.co/mp3-preview/b189e767a72485b302ab497f28da4e3b20bb4e6f?cid=961d9cfe0e7c426da68d7932c2693fc9,1990-05-08,"['girl group', 'mellow gold', 'new wave pop', 'soft rock']",0.679,0.657,-9.897,0.0255,0.4,0,0.0497,0.546,97.8,5,1,266867,65.0,Hit
1,4WvZRxYq2ns3jdV7eHfALY,"It Must Have Been Love - From the Film ""Pretty Woman""",6kvoHl80mfCVTv7XnZkjQn,https://p.scdn.co/mp3-preview/3a252a594cf752b8259ad59517357ac670c70559?cid=961d9cfe0e7c426da68d7932c2693fc9,1990-05-20,"['europop', 'new wave pop', 'soft rock', 'swedish pop']",0.52,0.652,-6.655,0.0274,0.34,5.49e-05,0.256,0.722,80.609,5,1,258787,74.0,Hit
2,4WvZRxYq2ns3jdV7eHfALY,Nothing Compares 2 U - Live,7avYl4vrpv1agYF2bEVwSq,https://p.scdn.co/mp3-preview/c5b860a1c35493e88f4147eaa9d09d5c3e4209e7?cid=961d9cfe0e7c426da68d7932c2693fc9,2013-10-28,"['lilith', 'new wave pop']",0.464,0.692,-5.574,0.0281,0.241,3.97e-05,0.989,0.117,60.022,5,1,330947,26.0,Hit
3,4WvZRxYq2ns3jdV7eHfALY,Poison,6m59VvDUi0UQsB2eZ9wVbH,https://p.scdn.co/mp3-preview/34b23c14247e15082e08e5c9b5dd324787363108?cid=961d9cfe0e7c426da68d7932c2693fc9,1990-01-01,"['boy band', 'contemporary r&b', 'hip hop', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.84,0.56,-10.53,0.21,0.00195,0.00417,0.633,0.775,111.815,6,0,261853,68.0,Hit
4,4WvZRxYq2ns3jdV7eHfALY,Vogue,27QvYgBk0CHOVHthWnkuWt,https://p.scdn.co/mp3-preview/8a73ed584f818526431cbf5ca66511ec0f26d34c?cid=961d9cfe0e7c426da68d7932c2693fc9,2009-09-18,['dance pop'],0.737,0.88,-6.449,0.0433,0.00379,0.00351,0.417,0.329,115.998,6,1,316813,63.0,Hit
5,4WvZRxYq2ns3jdV7eHfALY,Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,https://p.scdn.co/mp3-preview/1066b5d08fd6180e304fb43ee5ee109f97f1dd91?cid=961d9cfe0e7c426da68d7932c2693fc9,1990-06-12,"['dance pop', 'urban contemporary']",0.256,0.464,-10.959,0.0382,0.433,0,0.121,0.355,205.362,5,1,209293,56.0,Hit
6,4WvZRxYq2ns3jdV7eHfALY,Another Day in Paradise - 2016 Remaster,1NCuYqMc8hKMb4cpNTcJbD,https://p.scdn.co/mp3-preview/4f87d6e16bc0cc86aae6a29671d0aa898a149dcd?cid=961d9cfe0e7c426da68d7932c2693fc9,1989-11-20,"['mellow gold', 'rock drums', 'soft rock']",0.78,0.565,-7.32,0.0306,0.736,0.00269,0.063,0.365,101.967,3,0,322133,72.0,Hit
7,4WvZRxYq2ns3jdV7eHfALY,Hold On,79BkRVlqE3ZT6sE10HINGa,https://p.scdn.co/mp3-preview/d4523bacb5bffc7432ad148b44ead2ce519c9209?cid=961d9cfe0e7c426da68d7932c2693fc9,2022-03-04,"['contemporary r&b', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",0.728,0.464,-11.156,0.0606,0.0865,0,0.343,0.385,96.95,1,1,304467,0.0,Hit
8,4WvZRxYq2ns3jdV7eHfALY,Cradle Of Love - Remastered,1gmSaCrVZBjK8Na7dsThXv,https://p.scdn.co/mp3-preview/765ce65098215a3b152611e2bb82f7519386e53e?cid=961d9cfe0e7c426da68d7932c2693fc9,2008-01-01,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",0.602,0.907,-5.628,0.0529,0.00356,1.06e-06,0.0727,0.512,144.034,5,0,279720,33.0,Hit
9,4WvZRxYq2ns3jdV7eHfALY,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",1sUTfgduT0WIQO8kXKXxLC,https://p.scdn.co/mp3-preview/0bbc5c0fe7293f53a435fd232daf545bae84d8fe?cid=961d9cfe0e7c426da68d7932c2693fc9,1990-01-01,"['glam metal', 'hard rock']",0.55,0.618,-9.822,0.0307,0.0564,2.62e-05,0.0937,0.429,78.61,7,1,335240,64.0,Hit
10,4WvZRxYq2ns3jdV7eHfALY,Do Me!,3an1aoJKoBXJKoIfdDbVwf,https://p.scdn.co/mp3-preview/dae543617f17b1d84cd1b0e1a6b2cb61b010ca38?cid=961d9cfe0e7c426da68d7932c2693fc9,1990-01-01,"['boy band', 'contemporary r&b', 'hip hop', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.716,0.772,-6.816,0.037,0.134,2.15e-06,0.35,0.671,107.823,10,0,272440,46.0,Hit
