lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
"(One, two)

Ah, freak out!
Le freak, c'est Chic
Freak out!

Ah, freak out!
Le freak, c'est Chic
Freak out!

Have you heard about the new dance craze?
Listen to us, I'm sure you'll be amazed
Big fun to be had by everyone
It's up to you, it surely can be done

Young and old are doing it, I'm told
Just one try, and you too will be sold
It's called le freak, they're doing it night and day
Allow us, we'll show you the way

Ah, freak out!
Le freak, c'est Chic
Freak out!

All that pressure got you down
Has your head spinning all around
Feel the rhythm, check the rhyme
Come on along and have a real good time

Like the days of stomping at the Savoy
Now we freak, oh, what a joy
Just come on down, two 54
Find a spot out on the floor

Ah, freak out!
Le freak, c'est Chic
Freak out!

Now freak!

I said freak!

Now freak!

All that pressure got you down
Has your head spinning all around
Feel the rhythm, check the ride
Come on along and have a real good time

Like the days of stomping at the Savoy
Now we freak, oh, what a joy
Just come on down, two 54
Find a spot out on the floor

Ah, freak out!
Le freak, c'est Chic
Freak out!

Ah, freak out!
Le freak, c'est Chic
Freak out!","['classic pop and rock', 'r&b']",254.7,3,1979,4.4,107.69,239,37,"{'neg': 0.219, 'neu': 0.634, 'pos': 0.147, 'compound': -0.9715}",Le Freak,-0.30000000000000004,Chic,10,37
"Surely, sugar, hmm

Ooh-ooh-ooh-ooh

She sits alone, waiting for suggestions
He's so nervous, avoiding all her questions
His lips are dry, her heart is gently pounding
Don't you just know exactly what they're thinking?

""If you want my body and you think I'm sexy
Come on, sugar, let me know""
""If you really need me, just reach out and touch me
Come on, honey, tell me so
Tell me so, baby""

He's acting shy, looking for an answer
""Come on, honey, let's spend the night together""
""Now hold on a minute before we go much further
Give me a dime so I can phone my mother""
They catch a cab to his high-rise apartment
At last he can tell her exactly what his heart meant

""If you want my body and you think I'm sexy
Come on, honey, tell me so""
""If you really need me, just reach out and touch me
Come on, sugar, let me know""
Ooh

His heart's beating like a drum
'Cause at last he's got this girl home
""Relax, baby, now we're all alone""
Ow

They wake at dawn 'cause all the birds are singing
Two total strangers, but that ain't what they're thinking
Outside it's cold, misty, and it's raining
They got each other, neither one's complaining
He says, ""I'm sorry, but I'm out of milk and coffee""
""Never mind, sugar, we can watch the early movie""

""If you want my body and you think I'm sexy
Come on, sugar, let me know""
""If you really need me, just reach out and touch me
Come on, honey, tell me so""
Ooh

Sugar

If you really need me, just reach out and touch me
Come on, sugar, let me know
If you really, really, really, really need me
Just let me know
Just reach out and touch me
Hmm
If you really want me, just reach out and touch me
Come on, sugar, let me know
If you really need me, j-just reach out and touch me
Come on, sugar, let me know
If you, if you, if you really need me
Just come on and tell me so
Mm-hmm
Just reach out and tell me so","['blues rock', 'british', 'easy listening soundtracks and musicals', 'english', 'folk rock', 'pop', 'pop rock', 'pop/rock', 'rock', 'roots rock', 'standards', 'uk']",425.7,4,1979,5.2,97.2,362,45,"{'neg': 0.027, 'neu': 0.89, 'pos': 0.083, 'compound': 0.8917}",Da Ya Think I'm Sexy,1.7000000000000002,Rod Stewart,41,19
"At first I was afraid, I was petrified
Kept thinkin' I could never live without you by my side
But then I spent so many nights thinking how you did me wrong
And I grew strong
And I learned how to get along

And so you're back from outer space
I just walked in to find you here with that sad look upon your face
I should have changed that stupid lock
I should have made you leave your key
If I had known for just one second you'd be back to bother me

Go on now, go walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to hurt me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no not I, I will survive
Oh, as long as I know how to love, I know I'll stay alive
I've got all my life to live
And I've got all my love to give
And I'll survive
I will survive
Hey, hey

It took all the strength I had not to fall apart
Kept tryin' hard to mend the pieces of my broken heart
And I spent oh so many nights just feeling sorry for myself
I used to cry, but now I hold my head up high

And you see me, somebody new
I'm not that chained up little person still in love with you
And so you felt like dropping in and just expect me to be free
But now I'm savin' all my lovin' for someone who's lovin' me

Go on now, go walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to break me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no not I, I will survive
Oh, as long as I know how to love, I know I'll stay alive
I've got all my life to live
I've got all my love to give
And I'll survive
I will survive
Oh

Go on now, go walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to break me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no not I, I will survive
Oh, as long as I know how to love, I know I'll stay alive
I've got all my life to live
I've got all my love to give
And I'll survive
I will survive
I will survive",['classic pop and rock'],513.0,6,1979,4.800000000000001,98.21,437,55,"{'neg': 0.07100000000000001, 'neu': 0.8130000000000001, 'pos': 0.116, 'compound': 0.9863000000000001}",I Will Survive,1.3,Gloria Gaynor,23,31
"Young man, there's no need to feel down
I said, young man, pick yourself off the ground
I said, young man, 'cause you're in a new town
There's no need to be unhappy

Young man, there's a place you can go
I said, young man, when you're short on your dough
You can stay there, and I'm sure you will find
Many ways to have a good time

It's fun to stay at the Y.M.C.A.
It's fun to stay at the Y.M.C.A.

They have everything for you men to enjoy
You can hang out with all the boys

It's fun to stay at the Y.M.C.A.
It's fun to stay at the Y.M.C.A.

You can get yourself clean, you can have a good meal
You can do whatever you feel

Young man, are you listening to me?
I said, young man, what do you want to be?
I said, young man, you can make real your dreams
But you got to know this one thing!

No man does it all by himself
I said, young man, put your pride on the shelf
And just go there, to the Y.M.C.A.
I'm sure they can help you today

It's fun to stay at the Y.M.C.A.
It's fun to stay at the Y.M.C.A.

They have everything for you men to enjoy
You can hang out with all the boys

It's fun to stay at the Y.M.C.A.
It's fun to stay at the Y.M.C.A.

You can get yourself clean, you can have a good meal
You can do whatever you feel

Young man, I was once in your shoes
I said, I was down and out with the blues
I felt no man cared if I were alive
I felt the whole world was so jive

That's when someone came up to me
And said, young man, take a walk up the street
There's a place there called the Y.M.C.A.
They can start you back on your way

It's fun to stay at the Y.M.C.A.
It's fun to stay at the Y.M.C.A.

They have everything for you men to enjoy
You can hang out with all the boys

Y.M.C.A....you'll find it at the Y.M.C.A.

Young man, young man, there's no need to feel down
Young man, young man, get yourself off the ground

Y.M.C.A., you'll find it at the Y.M.C.A.

Young man, young man, there's no need to feel down
Young man, young man, get yourself off the ground

Y.M.C.Am just go to the Y.M.C.A.

Young man, young man, are you listening to me?
Young man, young man, what do you wanna be?",['lol'],464.4,8,1979,5.2,105.66,428,53,"{'neg': 0.034, 'neu': 0.802, 'pos': 0.164, 'compound': 0.9958}",Y.M.C.A.,0.5,Village People,17,37
"I'm glad you're home
Well, did you really miss me?
I guess you did by the look in your eye
(Look in your eye, look in your eye)

Well, lay back and relax
While I put away the dishes
(Put away the dishes)
Then you and me can rock a bell

You can ring my bell, ring my bell
You can ring my bell, ring my bell
You can ring my bell, ring my bell
You can ring my bell, ring my bell

The night is young and full of possibilities
Well, come on and let yourself be free
My love for you, so long I've been savin'
Tonight was made for me and you

You can ring my bell, ring my bell (ring my bell, ding-dong-ding)
You can ring my bell, ring my bell (ring my bell, ring-a-ling-a-ling)
You can ring my bell, ring my bell (ring my bell, ding-dong-ding)
You can ring my bell, ring my bell (ring my bell, ring-a-ling-a-ling)

(You can ring my bell, you can ring my bell
Ding, dong, ding, ah-ah, ring it
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, oww

You can ring my bell, you can ring my bell
Ding, dong, ding, ah-ah, ring it
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, oww)

You can ring my bell, ring my bell (ring my bell, ding-dong-ding)
You can ring my bell, ring my bell (ring my bell, ring-a-ling-a-ling)
You can ring my bell, ring my bell (ring my bell, ding-dong-ding)
You can ring my bell, ring my bell (ring my bell, ring-a-ling-a-ling)

(You can ring my bell, you can ring my bell
Ding, dong, ding, ah-ah, ring it
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, oww

You can ring my bell, you can ring my bell
Ding, dong, ding, ah-ah, ring it
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, oww)","['classic pop and rock', 'disco', 'soul']",369.9,9,1979,5.2,105.66,339,40,"{'neg': 0.005, 'neu': 0.9380000000000001, 'pos': 0.056, 'compound': 0.9502}",Ring My Bell,0.5,Anita Ward,12,27
"Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

Ooh, you and me, girl
Got a lot of love in store
And it flows through you
And it flows through me
And I love you so much more

And, my love
I can see beyond forever
Everything we own will never die
Love is such a beautiful thing
Oh, you make my world a summer day
Are you just a dream to fade away?

Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

Ah, you and me, girl
Got a highway to the sky
We can turn away from the night or day
And the tears we had to cry

You're my life
I can see a new tomorrow
Everything we own will never die
Love is such a beautiful thing, oh
When you are to me the light above
Made for all to see our precious love

Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

Oh, oh, oh
Oh, oh, oh

Love is such a beautiful thing
Oh, you make my world a summer day
Are you just a dream to fade away?

Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as wide as a river
And harder to cross

Oh, oh, oh
Oh, oh, oh

Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

Oh, oh, oh
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb","['baroque pop', 'blue-eyed soul', 'british', 'classic pop and rock', 'dance', 'disco', 'english', 'pop', 'pop rock', 'psychedelic pop', 'soft rock', 'uk']",457.2,11,1979,4.0,91.78,365,65,"{'neg': 0.066, 'neu': 0.728, 'pos': 0.20600000000000002, 'compound': 0.9966}",Too Much Heaven,1.7000000000000002,Bee Gees,12,47
"When you're in love with a beautiful woman, it's hard
When you're in love with a beautiful woman, you know it's hard
(You know it's hard, you know it gets so hard)
Everybody wants her, everybody loves her
Everybody wants to take your baby home

When you're in love with a beautiful woman you watch your friends
(You watch your friends, you better watch your friends)
When you're in love with a beautiful woman it never ends
(Never ends, you know it never ends)
You know that is crazy and you wanna trust her
Then somebody hangs up when you answer the phone

When you're in love with a beautiful woman, you go it alone
Maybe it's just an ego problem, problem is that I've been fooled before
By fair-weather friends and faint-hearted lovers
And every time it happens it just convinces me more

When you're in love with a beautiful woman, you watch her eyes
(Watch her eyes, baby watch her eyes)
When you're in love with a beautiful woman, you look for lies
(Keep lookin' for lies, baby keep lookin' for eyes)
'Cause everybody tempts her everybody tells her
She's the most beautiful woman they know

When you're in love with a beautiful woman, you go it alone
When you're in love with a beautiful woman you watch your friends
(You watch your friends, you better watch your friends)
When you're in love with a beautiful woman it never ends
(Never ends, you know it never ends)

When you're in love with a beautiful woman, you watch her eyes
(Watch her eyes, baby watch her eyes)
When you're in love with a beautiful woman, you look for lies
(Keep lookin' for lies, baby keep lookin' for eyes)",['american'],381.6,13,1979,5.6,87.72,289,30,"{'neg': 0.076, 'neu': 0.581, 'pos': 0.343, 'compound': 0.9989}",When You're In Love With A Beautiful Woman,3.3,Dr. Hook,18,13
"I'm ridin' in your car
I turn on the radio
You're pullin' me close
I just say no
I say I don't like it
But you know I'm a liar
'Cause when we kiss
Ooooh, fire

Late at night
You're takin' me home
You say you wanna stay
I say I wanna be alone
I say I don't love you
But you know I'm a liar
'Cause when we kiss
Ooooh, fire

You had a hold on me
Right from the start
A grip so tight
I couldn't tear it apart
My nerves all jumpin'
Actin' like a fool
Well, your kisses they burn
But my heart stays cool

Well, Romeo and Juliet
Samson and Delilah
Baby you can bet
A love they couldn't deny
My words say split
But my words they lie
'Cause when we kiss
Ooooh, fire

Ooooh, fire
Kisses like fire
Burn me up with fire
I like what you're doin' now
Fire
Touchin' me
Fire
Touchin' me
Burnin' me
Fire
Take me home",['classic pop and rock'],195.3,15,1979,4.0,100.24,168,33,"{'neg': 0.263, 'neu': 0.618, 'pos': 0.11900000000000001, 'compound': -0.973}",Fire,0.5,Pointer Sisters,20,12
"Here I lie in a lost and lonely part of town
Held in time, in a world of tears I slowly drown
Goin' home, I just can't make it all alone
I really should be holding you, holding you
Loving you, loving you

Tragedy
When the feeling's gone and you can't go on
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no one to love you, you're goin' nowhere

Tragedy
When you lose control and you got no soul
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no one beside you, you're goin' nowhere

Night and day there's a burning down inside of me
Burning love with a yearning that won't let me be
Down I go and I just can't take it all alone
I really should be holding you, holding you
Loving you, loving you

Tragedy
When the feeling's gone and you can't go on
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no one to love you, you're goin' nowhere

Tragedy
When you lose control and you got no soul
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no one beside you, you're goin' nowhere

Tragedy
When the feeling's gone and you can't go on
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no one to love you, you're goin' nowhere

Tragedy
When you lose control and you got no soul
It's tragedy
When the morning cries and your heart just dies
It's hard to bear
With no one beside you, you're goin' nowhere

Tragedy
When the feeling's gone and you can't go on
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no one to love you, you're goin' nowhere

Ah, tragedy
When you lose control and you got no soul
It's tragedy
When the morning cries and your heart just dies
It's hard to bear
With no one beside you, you're goin' nowhere

Ah, tragedy
When the feeling's gone and you can't go on
It's tragedy
When the morning cries and you don't know why
It's hard to bear
With no one to love you you're goin' nowhere","['baroque pop', 'blue-eyed soul', 'british', 'classic pop and rock', 'dance', 'disco', 'english', 'pop', 'pop rock', 'psychedelic pop', 'soft rock', 'uk']",477.0,16,1979,5.2,97.2,390,46,"{'neg': 0.326, 'neu': 0.593, 'pos': 0.081, 'compound': -0.9988}",Tragedy,1.7000000000000002,Bee Gees,13,54
"Night is dragging her feet
I wait alone in the heat
I know, know that you'll have your way
'Til you have to go home
No's a word I can't say

'Cause it gets me nowhere to tell you no
And it gets me nowhere to make you go

Will a little more love make you stop depending?
Will a little more love bring a happy ending?
Will a little more love make it right?
Will a little more love make it right?

Where, where did my innocence go?
How, how was a young girl to know?
I'm trapped, trapped in the spell of your eyes
In the warmth of your arms, in the web of your lies

But it gets me nowhere to tell you no
And it gets me nowhere to make you go

Will a little more love make you stop depending?
Will a little more love bring a happy ending?
Will a little more love make it right?
Will a little more love make it right?

Gets me nowhere to tell you no
It gets me nowhere to make you go

Will a little more love make you stop depending?
Will a little more love bring a happy ending?
Will a little more love make it right?
Will a little more love make it right?

Gets me nowhere to tell you no
It gets me nowhere to make you go

Will a little more love make you stop depending?
Will a little more love bring a happy ending?
Will a little more love make it right?
Will a little more love make it right?

Gets me nowhere to tell you no
It gets me nowhere to make you go","['australian', 'british', 'classic pop and rock']",358.2,17,1979,5.2,88.74,283,35,"{'neg': 0.091, 'neu': 0.648, 'pos': 0.261, 'compound': 0.9969}",A Little More Love,2.9,Olivia Newton-John,6,27
