title,artist,Hit
Good Time Baby,Bobby Rydell,False
Dum Dum,Brenda Lee,False
You Can Depend On Me,Brenda Lee,False
Let's Twist Again,Chubby Checker,False
Are You Lonesome Tonight,Elvis Presley,False
Sea Of Heartbreak,Don Gibson,False
You Must Have Been A Beautiful Baby,Bobby Darin,False
Love So Right,Bee Gees,False
The Rubberband Man,Spinners,False
I Never Cry,Alice Cooper,False
Nobody Does It Better,Carly Simon,False
I Wanna Get Next To You,Rose Royce,False
Muskrat Love,Captain and Tennille,False
Walk This Way,Aerosmith,False
Year Of The Cat,Al Stewart,False
Go Your Own Way,Fleetwood Mac,False
Sorry Seems To Be The Hardest Word,Elton John,False
Don't Worry Baby,B.J. Thomas,False
"Knowing Me, Knowing You",ABBA,False
How Much Love,Leo Sayer,False
Ring Of Fire,Johnny Cash,False
Just One Look,Doris Troy,False
Judy's Turn To Cry,Lesley Gore,False
"Tie Me Kangaroo Down, Sport",Rolf Harris,False
"That Sunday, That Summer",Nat King Cole,False
Another Saturday Night,Sam Cooke,False
"Painted, Tainted Rose",Al Martino,False
Go Away Little Girl,Steve Lawrence,False
Take These Chains From My Heart,Ray Charles,False
Come And Get These Memories,Martha and The Vandellas,False
Bossa Nova Baby,Elvis Presley,False
Shut Down,Beach Boys,False
Little Town Flirt,Del Shannon,False
Always On My Mind,Pet Shop Boys,False
When It's Love,Van Halen,False
Don't Shed A Tear,Paul Carrack,False
I Hate Myself For Loving You,Joan Jett and The Blackhearts,False
I Don't Want To Live Without You,Foreigner,False
Don't You Know What The Night Can Do,Steve Winwood,False
One Moment In Time,Whitney Houston,False
Can't Stay Away From You,Gloria Estefan and Miami Sound Machine,False
Kissing A Fool,George Michael,False
I Found Someone,Cher,False
Never Tear Us Apart,INXS,False
Valerie,Steve Winwood,False
Nothin' But A Good Time,Poison,False
Prove Your Love,Taylor Dayne,False
Roni,Bobby Brown,False
Love In An Elevator,Aerosmith,False
Lay Your Hands On Me,Bon Jovi,False
What I Am,Edie Brickell and The New Bohemians,False
Paradise City,Guns N' Roses,False
She Wants To Dance With Me,Rick Astley,False
It's No Crime,Babyface,False
Poison,Alice Cooper,False
Smooth Criminal,Michael Jackson,False
Rock Wit'cha,Bobby Brown,False
The End Of The Innocence,Don Henley,False
Keep On Movin',Soul II Soul,False
Funny Way Of Laughin',Burl Ives,False
"Twist, Twist Senora",Gary U.S. Bonds,False
I'll Never Dance Again,Bobby Rydell,False
Where Have All The Flowers Gone,Kingston Trio,False
Town Without Pity,Gene Pitney,False
If I Had A Hammer,"Peter, Paul and Mary",False
Surfin' Safari,Beach Boys,False
She's Gone,Daryl Hall and John Oates,False
Rock And Roll Music,Beach Boys,False
Still The One,Orleans,False
With Your Love,Jefferson Starship,False
Slow Ride,Foghat,False
Walk Away From Love,David Ruffin,False
"Baby, I Love Your Way",Peter Frampton,False
Young Hearts Run Free,Candi Staton,False
Money Honey,Bay City Rollers,False
Tear The Roof Off The Sucker,Parliament,False
Tryin' To Get The Feeling Again,Barry Manilow,False
Rock And Roll All Nite,Kiss,False
The Boys Are Back In Town,Thin Lizzy,False
Take The Money And Run,Steve Miller Band,False
Country Boy,Glen Campbell,False
