,playlistURI,participant,rating,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
0,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,I Go to Extremes,16LYB0chkPiblx33djiNTt,https://p.scdn.co/mp3-preview/dded6606538e22f2fe66350171e1f6e482a248bc?cid=961d9cfe0e7c426da68d7932c2693fc9,1989-10-17,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",0.592,0.918,-4.744,0.036,0.0143,1.25e-05,0.287,0.568,127.095,5,1,263200,46.0
1,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,Whip Appeal,3KwBXx4v79jKrITc0WBw6H,https://p.scdn.co/mp3-preview/b6d53b458d96f176dfc67bd43384dae3edf7fac0?cid=961d9cfe0e7c426da68d7932c2693fc9,1989-07-07,"['contemporary r&b', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",0.745,0.453,-9.694,0.0288,0.593,0.0,0.173,0.523,109.616,9,1,331200,45.0
2,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,Oh Girl,0YqhqbLNpfQetrwuLaVTiK,https://p.scdn.co/mp3-preview/d47a52ff4b8a20f35cecf642dce55e181891ec45?cid=961d9cfe0e7c426da68d7932c2693fc9,1990,"['europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0.57,0.575,-7.032,0.0318,0.267,0.0,0.0823,0.421,135.903,9,1,216373,54.0
3,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,The Way That You Love Me,57ysLbmFhxX9WL9e5QTAmz,https://p.scdn.co/mp3-preview/706d972a34881f7be98debb5ba309d7ad6c16abb?cid=961d9cfe0e7c426da68d7932c2693fc9,1988-01-01,"['dance pop', 'new wave pop', 'soft rock', 'urban contemporary']",0.767,0.852,-8.297,0.0729,0.0932,0.00343,0.0837,0.886,119.971,1,1,321178,34.0
4,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,When I'm Back On My Feet Again,3TK9554DKSajfRbxqeo2Zk,https://p.scdn.co/mp3-preview/f06728469c516c3c7a1bda01c9905c1232695761?cid=961d9cfe0e7c426da68d7932c2693fc9,2005-10-15,['soft rock'],0.289,0.338,-7.034,0.0277,0.827,0.0,0.107,0.122,74.935,5,1,227760,26.0
5,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,Make You Sweat,3iI6xZkQSWGjWx5phFVLn2,https://p.scdn.co/mp3-preview/cc8103836d33073fbfc0fd43fd45f47e5dce850d?cid=961d9cfe0e7c426da68d7932c2693fc9,1990,"['contemporary r&b', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.65,0.805,-10.53,0.0455,0.0464,3.26e-06,0.123,0.639,104.965,7,1,320507,33.0
6,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,This One's for the Children,78bDGxqn2KF2VU1G3Kz6J0,https://p.scdn.co/mp3-preview/1598a84f3f2420835a7248b9c3d3798569a9fad0?cid=961d9cfe0e7c426da68d7932c2693fc9,1989,"['boy band', 'dance pop']",0.594,0.421,-13.707,0.0312,0.198,0.0,0.0832,0.637,74.041,7,0,238467,32.0
7,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,What It Takes,1VnwYAUlz1Ln0E2QGUnYHB,https://p.scdn.co/mp3-preview/a19eb8bb920c58180e678cedb28f8b8885d888ac?cid=961d9cfe0e7c426da68d7932c2693fc9,1994-01-01,"['album rock', 'classic rock', 'hard rock', 'rock']",0.528,0.729,-6.319,0.0278,0.00424,7.74e-05,0.421,0.347,142.875,5,1,310973,37.0
8,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,Forever,0oSjcBQU1n11XpohLbCE5O,https://p.scdn.co/mp3-preview/d72da9841da8437d80da3615c95825507b93fe9f?cid=961d9cfe0e7c426da68d7932c2693fc9,1989-10-17,"['album rock', 'glam rock', 'hard rock', 'metal', 'rock']",0.428,0.682,-10.565,0.0306,0.255,1.33e-05,0.0544,0.598,176.362,6,1,232627,31.0
9,https://open.spotify.com/playlist/3wJb1RHVRtwUDYIFZu6Xoq?si=126a437b165a4e47&pt=238f8bbb84f0bb0c51ce2d04fbd2f2ef,,,3wJb1RHVRtwUDYIFZu6Xoq,Just a Friend,3yNVfRQlUPViUh8O2V9SQn,https://p.scdn.co/mp3-preview/a83f35ec589d11def7541256dfa10b824562f5d3?cid=961d9cfe0e7c426da68d7932c2693fc9,1994-08-07,"['east coast hip hop', 'electro', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']",0.862,0.663,-9.004,0.21,0.12,0.0,0.318,0.837,85.308,0,1,238267,58.0
