title,artist
(Everything I Do) I Do It For You,Bryan Adams
(I Can't Get No) Satisfaction,Rolling Stones
(Just Like) Starting Over,John Lennon
(Love Is) Thicker Than Water,Andy Gibb
(Sittin' On) The Dock Of The Bay,Otis Redding
(They Long To Be) Close To You,Carpenters
(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge
...Baby One More Time,Britney Spears
"1, 2 Step",Ciara
21 Questions,50 Cent
4 Seasons Of Loneliness,Boyz II Men
50 Ways To Leave Your Lover,Paul Simon
679,Fetty Wap
9 To 5,Dolly Parton
A Hard Day's Night,Beatles
A Little More Love,Olivia Newton-John
A Thousand Miles,Vanessa Carlton
A Whole New World,Peabo Bryson
A Woman Needs Love,Ray Parker Jr.
ABC,Jackson 5
Abracadabra,Steve Miller Band
Achy Breaky Heart,Billy Ray Cyrus
Addicted To Love,Robert Palmer
Adia,Sarah McLachlan
Again,Janet Jackson
Again,Lenny Kravitz
Against All Odds,Phil Collins
Ain't No Mountain High Enough,Diana Ross
Ain't it Funny,Jennifer Lopez
Alive And Kicking,Simple Minds
All About That Bass,Meghan Trainor
All Around The World,Lisa Stansfield
All For Love,"Bryan Adams, Rod Stewart and Sting"
All I Have,Jennifer Lopez
All I Wanna Do,Sheryl Crow
All I Wanna Do Is Make Love To You,Heart
All Night Long,Lionel Richie
All Of Me,John Legend
All Star,Smash Mouth
All That She Wants,Ace Of Base
All The Man That I Need,Whitney Houston
Alone,Heart
Alone Again,Gilbert O'Sullivan
Always,Atlantic Starr
Always,Bon Jovi
Always Be My Baby,Mariah Carey
Always On My Mind,Willie Nelson
Always on Time,Ja Rule
Am I Wrong,Nico and Vinz
American Pie,Don McLean
Angel,Sarah McLachlan
Angel,Shaggy
Another Day In Paradise,Phil Collins
Anything For You,Gloria Estefan and Miami Sound Machine
Apologize,Timbaland
At Seventeen,Janis Ian
Babe,Styx
Baby Boy,Beyonce
Baby Come Back,Player
Baby Don't Get Hooked On Me,Mac Davis
Baby Got Back,Sir Mix-a-Lot
Baby I Love Your Way,Big Mountain
Back At One,Brian McKnight
Bad Bad Leroy Brown,Jim Croce
Bad Blood,Taylor Swift
Bad Day,Daniel Powter
Bad Romance,Lady Gaga
Band Of Gold,Freda Payne
Band On The Run,Paul McCartney
Be Without You,Mary J. Blige
Beat It,Michael Jackson
Beautiful,Christina Aguilera
Because I Love You,Stevie B
Because You Loved Me,Celine Dion
Been Around The World,Puff Daddy
Before He Cheats,Carrie Underwood
Behind These Hazel Eyes,Kelly Clarkson
Being With You,Smokey Robinson
Believe,Cher
Ben,Michael Jackson
Bennie And The Jets,Elton John
Bent,matchbox twenty
Bette Davis Eyes,Kim Carnes
Beverly Hills,Weezer
Big Girls Don't Cry,Fergie
Billie Jean,Michael Jackson
"Bills, Bills, Bills",Destiny's Child
Bitch,Meredith Brooks
Black Or White,Michael Jackson
Black Velvet,Alannah Myles
Black Water,Doobie Brothers
Blame It,Jamie Foxx
Blame It On The Rain,Milli Vanilli
Blank Space,Taylor Swift
Blaze Of Glory,Jon Bon Jovi
Bleeding Love,Leona Lewis
Blowin' In The Wind,"Peter, Paul and Mary"
Blue Velvet,Bobby Vinton
Blurred Lines,Robin Thicke
Blurry,Puddle Of Mudd
Boom Boom Pow,Black Eyed Peas
Born This Way,Lady Gaga
Boulevard Of Broken Dreams,Green Day
Break Your Heart,Taio Cruz
Breakaway,Kelly Clarkson
Breaking Up Is Hard To Do,Neil Sedaka
Breathe,Faith Hill
Breathe Again,Toni Braxton
Bridge Over Troubled Water,Simon and Garfunkel
Bring Me To Life,Evanescence
Broken Wings,Mr. Mister
Brown Sugar,Rolling Stones
Bubbly,Colbie Caillat
Bump N' Grind,R. Kelly
"Bump, Bump, Bump",B2K
Burn,Usher
Burning Heart,Survivor
Buttons,Pussycat Dolls
Buy U A Drank,T-Pain
C'est La Vie,Robbie Nevil
California Gurls,Katy Perry
Call Me,Blondie
Call Me Maybe,Carly Rae Jepsen
Can You Feel The Love Tonight,Elton John
Can't Feel My Face,The Weeknd
Can't Fight This Feeling,REO Speedwagon
Can't Get Used To Losing You,Andy Williams
Can't Help Falling In Love,UB40
Can't Hold Us,Macklemore
Can't Nobody Hold Me Down,Puff Daddy
Can't Take My Eyes Off You,Frankie Valli
