"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Eb90nmqTrxylKFhcUzW8P","(Everything I Do) I Do It For You","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","spotify:album:6Rk2VghhfqeYrgKxS21eBh","Waking Up The Neighbours","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","1991-09-24","https://i.scdn.co/image/ab67616d0000b27305a41288f037a08fb45db5e2","1","12","393640","https://p.scdn.co/mp3-preview/b69589f6d0950835ba5f00f811bdf2741d0a5cf1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAM19190012","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:2PzU4IB8Dr6mxV3lHuaG34","(I Can't Get No) Satisfaction - Mono Version","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:2Q5MwpTmtjscaS34mJFXQQ","Out Of Our Heads","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1965-07-30","https://i.scdn.co/image/ab67616d0000b27305c5be85b64eaff732f7cb0b","1","7","222813","https://p.scdn.co/mp3-preview/22782e4be2eb4daa12edd8882a894ffda3601b43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USA176510160","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:5y0YreEOnQiKFAnCrcFIXz","(Just Like) Starting Over - Remastered 2010","spotify:artist:4x1nvY2FN8jxqAFA0DA02H","John Lennon","spotify:album:15q7N7Wo307mfjqR29NpjF","Double Fantasy: Stripped Down","spotify:artist:4x1nvY2FN8jxqAFA0DA02H, spotify:artist:2s4tjL6W3qrblOe0raIzwJ","John Lennon, Yoko Ono","1980-11-17","https://i.scdn.co/image/ab67616d0000b2736eac0f2b77d85a59f0cf9b3e","2","1","236546","https://p.scdn.co/mp3-preview/a79a8808230f4ded0af7074d5f472dee77f6881f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USTO11000015","spotify:user:1139977116","2023-03-20T13:47:31Z"
"spotify:track:3jdBf1cJ2QmTzNUixplppA","(Love Is) Thicker Than Water","spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK","Andy Gibb","spotify:album:65bUF3YLGrSqGfkquOCDHg","Flowing Rivers","spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK","Andy Gibb","1977-01-01","https://i.scdn.co/image/ab67616d0000b273cdcd0270eab79f1a1bc47f17","1","6","255960","https://p.scdn.co/mp3-preview/ce0e47fb6c8868022d3549365a53cb8274dd8754?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLF057790041","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:3zBhihYUHBmGd2bcQIobrF","(Sittin' On) the Dock of the Bay","spotify:artist:60df5JBRRPcnSpsIMxxwQm","Otis Redding","spotify:album:03HMOcANauhLD0WNrMkmLU","The Dock of the Bay (Mono)","spotify:artist:60df5JBRRPcnSpsIMxxwQm","Otis Redding","1968","https://i.scdn.co/image/ab67616d0000b27313a5da9563c438059afa7ad4","1","1","163755","https://p.scdn.co/mp3-preview/404976a4a56d8c1cd4abfe11198bae2118594cab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USAT21403443","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:2kyVQg00pphEufGT59M2XH","(They Long To Be) Close To You","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","spotify:album:5z8MFnoVUIfVo6MQW0uIul","Close To You","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","1970-01-01","https://i.scdn.co/image/ab67616d0000b273f33f1738a2764489750e3535","1","6","273933","https://p.scdn.co/mp3-preview/4d4e5b3219e81e16f5e9e624ae1037f69711ab65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USAM17000373","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:39iKJpLPhsDTOzH2lXliWF","(Your Love Has Lifted Me) Higher And Higher","spotify:artist:1vnIL4DMlivP55ioM6KitW","Rita Coolidge","spotify:album:3IcnPxM10hCMb6W2gCapAY","Anytime... Anywhere","spotify:artist:1vnIL4DMlivP55ioM6KitW","Rita Coolidge","1977-03-01","https://i.scdn.co/image/ab67616d0000b27377835d4aad19f47457ea41bd","1","1","241720","https://p.scdn.co/mp3-preview/7517c6d7e45a0d992212cb3aafee376adc2eedcc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USAM17700388","spotify:user:1139977116","2023-03-20T13:49:45Z"
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:3WNxdumkSMGMJRhEgK80qx","...Baby One More Time (Digital Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","1999-01-12","https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02","1","1","211066","https://p.scdn.co/mp3-preview/174e01719c3b06ee1437cb13f892e539df14b6d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USJI19810404","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:7uKcScNXuO3MWw6LowBjW1","One, Two Step (feat. Missy Elliott)","spotify:artist:2NdeV5rLm47xAvogXrYhJX, spotify:artist:2wIVse2owClT7go1WT98tk","Ciara, Missy Elliott","spotify:album:71gUhKYZIWmmjqAHlY4Br3","Goodies","spotify:artist:2NdeV5rLm47xAvogXrYhJX","Ciara","2004-09-27","https://i.scdn.co/image/ab67616d0000b273c1e3659212de0f437bbf395e","1","2","203786","https://p.scdn.co/mp3-preview/ae77ad8cc38a152c786b2b2e32c34c6541e1f2f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USLF20400121","spotify:user:1139977116","2023-03-20T13:51:47Z"
"spotify:track:70FCugJxa7XW04Np6iYJdI","21 Questions","spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:1Oa0bMld0A3u5OTYfMzp5h","50 Cent, Nate Dogg","spotify:album:5G5rgQHzdQnw32SI0WjIo5","Get Rich Or Die Tryin'","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","2003-02-06","https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae","1","14","224440","https://p.scdn.co/mp3-preview/77a25e19e14207e68cf6824df73427206a50a249?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USIR10300002","spotify:user:1139977116","2023-03-17T09:16:20Z"
