,Artist,Song_Title
0,Dua Lipa,Levitating
1,The Weeknd & Ariana Grande,Save Your Tears
2,The Weeknd,Blinding Lights
3,24kGoldn Featuring iann dior,Mood
4,Olivia Rodrigo,Good 4 U
5,Doja Cat Featuring SZA,Kiss Me More
6,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
7,Olivia Rodrigo,Drivers License
8,Lil Nas X,Montero (Call Me By Your Name)
9,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
10,BTS,Butter
11,The Kid LAROI & Justin Bieber,Stay
12,Olivia Rodrigo,Deja Vu
13,Ariana Grande,Positions
14,Ed Sheeran,Bad Habits
15,Glass Animals,Heat Waves
16,The Kid LAROI,Without You
17,Luke Combs,Forever After All
18,Chris Brown & Young Thug,Go Crazy
19,Masked Wolf,Astronaut In The Ocean
20,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35
21,Pop Smoke,What You Know Bout Love
22,Machine Gun Kelly X blackbear,My Ex's Best Friend
23,Lil Nas X & Jack Harlow,Industry Baby
24,Billie Eilish,Therefore I Am
25,Cardi B,Up
26,Walker Hayes,Fancy Like
27,Bad Bunny & Jhay Cortez,Dakiti
28,Saweetie Featuring Doja Cat,Best Friend
29,Polo G,Rapstar
30,Giveon,Heartbreak Anniversary
31,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
32,Lil Tjay Featuring 6LACK,Calling My Phone
33,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes
34,Justin Bieber Featuring Chance The Rapper,Holy
35,Lil Baby,On Me
36,Tate McRae,You Broke Me First.
37,Olivia Rodrigo,Traitor
38,Pooh Shiesty Featuring Lil Durk,Back In Blood
39,Gabby Barrett Featuring Charlie Puth,I Hope
40,BTS,Dynamite
41,Moneybagg Yo,Wockesha
42,Doja Cat & The Weeknd,You Right
43,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box
44,Drake Featuring Lil Durk,Laugh Now Cry Later
45,Doja Cat,Need To Know
46,Drake Featuring Lil Baby,Wants And Needs
47,Drake Featuring Future & Young Thug,Way 2 Sexy
48,Kali Uchis,Telepatia
49,CJ,Whoopty
50,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade
51,SZA,Good Days
52,Chris Stapleton,Starting Over
53,Megan Thee Stallion,Body
54,Taylor Swift,Willow
55,AJR,Bang!
56,Luke Combs,Better Together
57,Yung Bleu Featuring Drake,You're Mines Still
58,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get
59,Wizkid Featuring Justin Bieber & Tems,Essence
60,Ryan Hurd With Maren Morris,Chasing After You
61,Gabby Barrett,The Good Ones
62,Marshmello X Jonas Brothers,Leave Before You Love Me
63,Dan + Shay,Glad You Exist
64,Justin Bieber & benny blanco,Lonely
65,Maneskin,Beggin'
66,Doja Cat,Streets
67,Drake,What's Next
68,Chris Young + Kane Brown,Famous Friends
69,Nelly & Florida Georgia Line,Lil Bit
70,Megan Thee Stallion,Thot Shit
71,Roddy Ricch,Late At Night
72,Ava Max,Kings & Queens
73,Justin Bieber,Anyone
74,Mooski,Track Star
75,Moneybagg Yo,Time Today
76,Megan Thee Stallion Featuring DaBaby,Cry Baby
77,Mariah Carey,All I Want For Christmas Is You
78,Coi Leray Featuring Lil Durk,No More Parties
79,Thomas Rhett,What's Your Country Song
80,Keith Urban Duet With P!nk,One Too Many
81,Duncan Laurence,Arcade
82,Bad Bunny,Yonaguni
83,Niko Moon,Good Time
84,Jason Aldean & Carrie Underwood,If I Didn't Love You
85,Drake Featuring 21 Savage & Project Pat,Knife Talk
86,Ariana Grande,pov
87,Parmalee x Blanco Brown,Just The Way
88,The Weeknd,Take My Breath
89,Dua Lipa,We're Good
90,Eric Church,Hell Of A View
91,Brenda Lee,Rockin' Around The Christmas Tree
92,Ritt Momney,Put Your Records On
93,Billie Eilish,Happier Than Ever
94,Cole Swindell,Single Saturday Night
95,Lainey Wilson,Things A Man Oughta Know
96,BRS Kash,Throat Baby (Go Baby)
97,Rod Wave,Tombstone
98,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.
99,Rauw Alejandro,Todo de Ti
